C_dimensionless,conductance_m3_per_Pa_s,edge_u,edge_v,geometry_source,harmonic,length_m,radius_m
0.04572546506194586,3.945696019403023e-17,57137,57259,radius_adapted_m+length_true,2,0.00019014388294106958,2.8595884561126636e-06
0.0020891980696837484,1.4226319221287467e-15,58673,58718,radius_adapted_m+length_true,2,8.02822724052706e-05,5.648460437283005e-06
0.004579487686644536,9.958409818794533e-16,58167,58208,radius_adapted_m+length_true,2,0.00012028468218338078,5.716130294690876e-06
0.020319378996204424,1.92087691818086e-17,56632,56285,radius_adapted_m+length_true,2,8.71048885796455e-05,1.9651131260388687e-06
0.006623230414575891,2.771230967855228e-16,56632,56301,radius_adapted_m+length_true,2,0.00010043225487558546,3.968610927787117e-06
0.0004497033376931208,1.4692407558580277e-15,56632,56655,radius_adapted_m+length_true,2,2.9146346654793855e-05,4.419990265504085e-06
0.0006245787170083083,1.4805624956028104e-13,59706,59732,radius_adapted_m+length_true,2,0.00016883770175156695,2.1725815325794525e-05
5.736131689620501e-07,6.081822473773904e-10,56641,56301,radius_adapted_m+length_true,2,2.5548165346040516e-05,0.00010848018171012663
3.8035646553587105e-06,2.358670888695415e-10,56641,56676,radius_adapted_m+length_true,2,6.575852260413742e-05,0.0001084318551720507
0.006160743989527607,3.265266041498374e-16,48453,56159,radius_adapted_m+length_true,2,0.0001010797195439948,4.141404868027086e-06
0.00026149845461459844,2.0574467346447654e-15,58182,58185,radius_adapted_m+length_true,2,2.2717368054576897e-05,4.517765591305231e-06
0.0022484657263170164,8.936861947282584e-16,58185,58208,radius_adapted_m+length_true,2,7.220848957361115e-05,4.897172106274031e-06
0.07914094689318445,1.9727225405028355e-17,57165,57292,radius_adapted_m+length_true,2,0.00021754973573011343,2.4868991929813397e-06
0.0014508855201080097,2.293818265144461e-16,57678,57681,radius_adapted_m+length_true,2,3.426711137955989e-05,2.893084811979848e-06
0.049611338372927964,5.9711171685418e-18,57678,57711,radius_adapted_m+length_true,2,0.00010698959812846809,1.5447255397719204e-06
8.886059884783233e-06,1.5155971888779266e-10,56655,56676,radius_adapted_m+length_true,2,9.990866376381107e-05,0.00010778262961888705
1.4203645720622512e-06,3.806159890768187e-10,56655,56661,radius_adapted_m+length_true,2,3.9997356899295447e-05,0.0001079273764299922
0.001197133642582263,4.14844643395284e-16,59214,59225,radius_adapted_m+length_true,2,3.672760839071906e-05,3.4136702996580823e-06
0.001397031978891208,3.6579621877599123e-16,59214,59222,radius_adapted_m+length_true,2,3.903789263397759e-05,3.3587945045892756e-06
0.0022845729953948272,6.124220618621088e-16,56145,56158,radius_adapted_m+length_true,2,6.43412308545424e-05,4.328995034625561e-06
4.32197344065787e-06,2.2177707351182027e-10,56145,56173,radius_adapted_m+length_true,2,7.015026914597388e-05,0.0001085146907723104
0.001759255129082299,8.364988902752703e-16,56661,56752,radius_adapted_m+length_true,2,5.997589487970171e-05,4.598461620150138e-06
0.009658015685101027,1.0670736853982499e-16,59222,59255,radius_adapted_m+length_true,2,9.395627794262003e-05,3.074553773395139e-06
0.0003567812141564888,1.1479444020950675e-14,58711,58728,radius_adapted_m+length_true,2,4.956525375447083e-05,8.43872018894434e-06
0.0037588193406797904,3.9745893024321794e-16,59225,59238,radius_adapted_m+length_true,2,7.763676867989301e-05,4.072320657306379e-06
0.0031742421312726406,6.009770276023766e-17,56158,53693,radius_adapted_m+length_true,2,3.6952888187172594e-05,2.109252655208288e-06
0.025275690199299792,1.5866455193219402e-17,56158,53709,radius_adapted_m+length_true,2,9.452885163222823e-05,1.912111055688384e-06
0.0009895653320774326,2.0105166862935686e-15,56159,56199,radius_adapted_m+length_true,2,5.4743757728213407e-05,5.596449785533583e-06
0.00044777670911626667,5.5680254111662306e-15,56159,56169,radius_adapted_m+length_true,2,4.5311711448246195e-05,6.886205173856019e-06
0.00023047700688318294,3.2972399018317263e-15,59234,59238,radius_adapted_m+length_true,2,2.4438299456210644e-05,5.17675273852858e-06
0.00853930788891398,1.0520378268148227e-16,59234,59310,radius_adapted_m+length_true,2,8.614458104496469e-05,2.9978981168970745e-06
0.0003338552462074708,1.992699307541008e-15,59234,59255,radius_adapted_m+length_true,2,2.6451793463630576e-05,4.6556064682105395e-06
