D_ci95_high,D_ci95_low,D_mean,D_median,D_mode,W95_decades,cholesky_attempts,cholesky_failures,cholesky_jitter_uses,cholesky_max_jitter,harmonics,identified,n_boundary_nodes,n_interior_nodes,n_observed_edges,posterior_mass_at_lower_boundary,posterior_mass_at_upper_boundary,prior_to_posterior_width_ratio,prior_width_decades,tile_id
0.035063678136788116,2.2723317424403025e-05,0.00549250004135494,0.0012561530573115109,0.0019952623149688807,3.1883857358824206,560511,0,0,0.0,H2,True,44,189,262,0.003651591363170174,0.0027131137153543535,1.2294622811424343,3.9199999999999995,26
0.0003363834549290249,9.999999999999997e-06,8.10171585852275e-05,3.898772281866965e-05,3.9810717055349695e-05,1.5268346268115685,560511,0,0,0.0,H2,True,41,189,254,0.04471729962560916,2.130618760832244e-08,2.567403130086189,3.9199999999999995,30
0.001449918081245208,1.1604529645137076e-05,0.00034834017763106436,0.00013158691612675513,0.00019952623149688788,2.0967159234519577,560511,0,0,0.0,H2,True,28,164,231,0.013906295896905797,3.6368607498782285e-05,1.8695904181174208,3.9199999999999995,32
0.0015468718679856456,9.999999999999997e-06,0.0003156896710916637,9.956606565767384e-05,0.00012589254117941674,2.1894543412808605,560511,0,0,0.0,H2,True,30,188,261,0.03779017225697226,1.3008951331451419e-05,1.7904004326971927,3.9199999999999995,31
0.00012389949924222063,9.999999999999997e-06,3.691796342087944e-05,2.1093222721890284e-05,1.2589254117941661e-05,1.0930695511155322,560511,0,0,0.0,H2,False,38,102,144,0.12060049201565941,3.2326191124020265e-15,3.586231082916401,3.9199999999999995,34
0.0005919197432335846,1.2412912642166088e-05,0.00015384497023028903,7.983722892818246e-05,0.0001,1.6783891269380955,560511,0,0,0.0,H2,True,35,205,263,0.010965708974571312,2.2067992360050607e-07,2.3355728043539585,3.9199999999999995,35
0.0016106172322773277,1.2416913925884867e-05,0.0003675659791560884,0.00016586947160034652,0.0002511886431509582,2.112978670775251,560511,0,0,0.0,H2,True,27,125,189,0.011559296664965062,1.7914347815203478e-07,1.8552009323225933,3.9199999999999995,38
1.693956875661606e-05,9.999999999999997e-06,1.1872312052252467e-05,9.999999999999997e-06,1e-05,0.22890234997308667,560511,0,0,0.0,H2,False,27,162,228,0.5495664628935312,6.051320882120323e-11,17.125206449216865,3.9199999999999995,37
0.00014869892128381294,9.999999999999997e-06,3.7473781800138345e-05,1.8230148602030095e-05,1.2589254117941661e-05,1.1723078180028768,560511,0,0,0.0,H2,False,42,239,309,0.13767810212303724,4.352045745323522e-09,3.3438316624707354,3.9199999999999995,33
0.003044961242359614,9.999999999999997e-06,0.0005002101114840269,2.9527428478516496e-05,3.1622776601683795e-05,2.483581769107983,560511,0,0,0.0,H2,True,40,182,254,0.04423234976090065,0.0003346779442280504,1.578365588264053,3.9199999999999995,36
0.011471249473325403,1.621550518813492e-05,0.001827079490616816,0.0004180999067803498,0.000630957344480193,2.8496802412672753,560511,0,0,0.0,H2,True,36,169,227,0.006350179356093153,0.0006523713814991355,1.3755929325799532,3.9199999999999995,39
0.0012378791680947609,1.0781349471882194e-05,0.00047566655308662156,8.253730872475563e-05,0.0001,2.0600051306848934,560511,0,0,0.0,H2,True,19,123,158,0.0176799252169464,0.0005441383411961688,1.9029078819316874,3.9199999999999995,43
0.000180569294492482,9.999999999999997e-06,4.4466599981264795e-05,2.1459780156755447e-05,1.584893192461114e-05,1.2566439012032242,560511,0,0,0.0,H2,False,34,171,213,0.1060121914583302,1.3130106874528561e-08,3.1194199058672374,3.9199999999999995,40
0.0001107237506506856,9.999999999999997e-06,2.816805390368098e-05,1.4336411210283314e-05,1e-05,1.0442407886309955,560511,0,0,0.0,H2,False,35,133,169,0.2320071178659151,1.2409411050455772e-09,3.75392346542902,3.9199999999999995,41
0.0016683782390499813,1.1668132150083257e-05,0.00032675221840901833,0.0001314190253203458,0.00015848931924611142,2.1552931774531943,560511,0,0,0.0,H2,True,22,116,150,0.013668860098683289,1.0880038943371582e-10,1.8187780859734701,3.9199999999999995,44
0.0002812988193593602,9.999999999999997e-06,7.359404273938346e-05,3.9022918230024114e-05,3.9810717055349695e-05,1.4491679093895486,560511,0,0,0.0,H2,True,32,179,226,0.045348758573163214,2.6355377959765937e-10,2.7050005555610674,3.9199999999999995,42
0.002490619305264983,1.489756108819123e-05,0.0006335982103797575,0.00031680771635341767,0.000630957344480193,2.2231921751278922,560511,0,0,0.0,H2,True,24,79,120,0.007478516510651309,1.647898285197917e-08,1.7632303873031112,3.9199999999999995,49
0.0019215735791398632,1.2391253908985543e-05,0.00041567167221330043,0.00017453499715469446,0.0002511886431509582,2.190541762535908,560511,0,0,0.0,H2,True,26,131,181,0.011641025508741664,8.344366828140787e-07,1.7895116482335232,3.9199999999999995,48
0.0003385056910367788,1.0115314436481207e-05,8.473641585975108e-05,4.583190732269195e-05,5.011872336272725e-05,1.5245865870992834,560511,0,0,0.0,H2,True,38,153,201,0.0234260466073534,3.4413293369339296e-12,2.5711888279551833,3.9199999999999995,45
0.0005694039490354907,1.032063583050754e-05,0.0001414999898165017,7.243429638190447e-05,0.0001,1.7417140208265727,560511,0,0,0.0,H2,True,30,152,211,0.021366128721492086,1.9778367435443162e-08,2.2506565102689295,3.9199999999999995,50
