D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,observation_source,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.0017782794100389228,0.0017782794100389228,0.0017782794100389228,0.0017782794100389228,0.0017782794100389228,measured_flow_free_boundary,137214.0086121349,189.00001186244478,0.8180998001383945,5.231828541585842e-13,0.5231828541585842,6.100000208355837e-14,0.06100000208355837,726,21.660312775621446,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,27647.138668030937,322,292,0,906,180,weighted_least_squares,measured_graph,False,11,sigma,0.0,0.0
1e-06,4.216965034285822e-06,1.333521432163324e-05,1e-06,1e-06,measured_flow_free_boundary,23385.18467536447,35.64814737098243,0.5974043001063148,5.231828541585842e-13,0.5231828541585842,6.100003888261715e-14,0.061000038882617146,656,9.052431514422251,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,10230.979911546674,308,284,0,876,220,weighted_least_squares,measured_graph,False,12,sigma,0.625,1.125
1e-06,1e-05,4.216965034285822e-05,1e-06,1e-06,measured_flow_free_boundary,8020.767924846455,11.093731569635484,0.6851733869926989,3.0593014195884764e-13,0.30593014195884766,6.100044415062524e-14,0.06100044415062524,723,5.102611562296603,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,1633.9151113385024,319,302,0,923,200,weighted_least_squares,measured_graph,False,13,sigma,1.0,1.625
0.01778279410038923,0.01778279410038923,0.01778279410038923,0.01778279410038923,0.01778279410038923,measured_flow_free_boundary,3528.887715358283,6.645739576945919,0.9874255013797443,1.1447914476325633e-12,1.1447914476325634,6.100005327021932e-14,0.06100005327021932,531,3.8626458789061187,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,1107.5186260074202,231,220,0,671,140,weighted_least_squares,measured_graph,False,14,sigma,0.0,0.0
0.023713737056616554,0.023713737056616554,0.023713737056616554,0.023713737056616554,0.023713737056616554,measured_flow_free_boundary,145804.78408046253,260.3656858579688,0.8879479968280234,1.6670091516771512e-12,1.6670091516771512,6.100005327021932e-14,0.06100005327021932,560,25.327118306338413,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,9150.915051736112,241,227,0,695,135,weighted_least_squares,measured_graph,False,15,sigma,0.0,0.0
0.00031622776601683794,0.00042169650342858224,0.0005623413251903491,0.00023713737056616554,5.623413251903491e-05,measured_flow_free_boundary,36944.45336583739,52.702501235146066,1.0261991347033281,2.324520444533678e-12,2.324520444533678,6.100000121537205e-14,0.06100000121537205,701,10.953972358400101,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,21118.818588046342,321,305,0,931,230,weighted_least_squares,measured_graph,False,16,sigma,0.25,1.0
0.0017782794100389228,0.0017782794100389228,0.0017782794100389228,0.0017782794100389228,0.0017782794100389228,measured_flow_free_boundary,219715.36030449174,481.83193049230647,1.32835333005755,3.7529163113808234e-12,3.7529163113808233,6.100013875907053e-14,0.06100013875907053,456,32.31669544630195,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,25101.40641068606,221,210,0,641,185,weighted_least_squares,measured_graph,False,17,sigma,0.0,0.0
1e-06,1e-06,1.778279410038923e-06,1e-06,1e-06,measured_flow_free_boundary,1215615.7041604389,4748.498844376714,2.1048050753312464,4.22806240016171e-12,4.2280624001617095,6.100013875907053e-14,0.06100013875907053,256,101.90485648515283,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,153260.14522448694,122,117,0,356,100,weighted_least_squares,measured_graph,False,18,sigma,0.0,0.25000000000000006
1e-06,1.333521432163324e-06,2.3713737056616552e-06,1e-06,1e-06,measured_flow_free_boundary,2841574.9883305486,31927.808857646614,2.242185373151589,6.099465913326564e-12,6.099465913326564,6.100056786420349e-14,0.06100056786420349,89,215.81632649696618,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,1604873.8571013622,62,61,0,184,95,weighted_least_squares,measured_graph,False,19,sigma,0.12500000000000006,0.37500000000000006
1e-06,1.333521432163324e-06,2.3713737056616552e-06,1e-06,1e-06,measured_flow_free_boundary,2843031.603301805,30902.517427193532,2.2543194496961614,6.099465913326564e-12,6.099465913326564,6.100056786420349e-14,0.06100056786420349,92,214.12357927119314,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,1620004.0191165893,63,62,0,187,95,weighted_least_squares,measured_graph,False,20,sigma,0.12500000000000006,0.37500000000000006
