D,chi2,delta_chi2,objective,observation_source,tile_id,weight_mode
0.01333521432163324,993.0947300653639,111.7208897869366,weighted_least_squares,measured_graph,6,sigma
0.01778279410038923,1053.128756235293,171.7549159568656,weighted_least_squares,measured_graph,6,sigma
0.023713737056616554,1135.330730006984,253.95688972855658,weighted_least_squares,measured_graph,6,sigma
0.03162277660168379,1235.9724327990566,354.59859252062927,weighted_least_squares,measured_graph,6,sigma
0.042169650342858224,1346.9040400934668,465.5301998150395,weighted_least_squares,measured_graph,6,sigma
0.05623413251903491,1460.3183706534214,578.9445303749941,weighted_least_squares,measured_graph,6,sigma
0.07498942093324558,1572.3850158458017,691.0111755673744,weighted_least_squares,measured_graph,6,sigma
0.1,1682.316596718926,800.9427564404986,weighted_least_squares,measured_graph,6,sigma
1e-06,1141.89449495265,0.0,weighted_least_squares,measured_graph,7,sigma
1.333521432163324e-06,1141.8985799873817,0.00408503473181554,weighted_least_squares,measured_graph,7,sigma
1.778279410038923e-06,1141.9040275117575,0.009532559107583438,weighted_least_squares,measured_graph,7,sigma
2.3713737056616552e-06,1141.9112920176037,0.016797064953834706,weighted_least_squares,measured_graph,7,sigma
3.162277660168379e-06,1141.9209796133268,0.02648466067694244,weighted_least_squares,measured_graph,7,sigma
4.216965034285822e-06,1141.9338985815587,0.03940362890875804,weighted_least_squares,measured_graph,7,sigma
5.623413251903491e-06,1141.9511269023906,0.056631949740676646,weighted_least_squares,measured_graph,7,sigma
7.498942093324558e-06,1141.9741023594881,0.07960740683824952,weighted_least_squares,measured_graph,7,sigma
1e-05,1142.0047425838154,0.11024763116552094,weighted_least_squares,measured_graph,7,sigma
1.333521432163324e-05,1142.0456054708027,0.15111051815279097,weighted_least_squares,measured_graph,7,sigma
1.778279410038923e-05,1142.1001031785088,0.20560822585889582,weighted_least_squares,measured_graph,7,sigma
2.3713737056616554e-05,1142.1727879942844,0.2782930416344698,weighted_least_squares,measured_graph,7,sigma
3.1622776601683795e-05,1142.2697341427227,0.37523919007276163,weighted_least_squares,measured_graph,7,sigma
4.216965034285822e-05,1142.399048161628,0.5045532089779954,weighted_least_squares,measured_graph,7,sigma
5.623413251903491e-05,1142.5715515712898,0.677056618639881,weighted_least_squares,measured_graph,7,sigma
7.498942093324559e-05,1142.801694733212,0.9071997805619958,weighted_least_squares,measured_graph,7,sigma
0.0001,1143.1087814626437,1.2142865099938263,weighted_least_squares,measured_graph,7,sigma
0.0001333521432163324,1143.5186118891136,1.624116936463679,weighted_least_squares,measured_graph,7,sigma
0.00017782794100389227,1144.0656889092663,2.1711939566164347,weighted_least_squares,measured_graph,7,sigma
0.00023713737056616554,1144.796184196959,2.901689244309182,weighted_least_squares,measured_graph,7,sigma
0.00031622776601683794,1145.771925642382,3.8774306897321367,weighted_least_squares,measured_graph,7,sigma
0.00042169650342858224,1147.0757490913513,5.1812541387014335,weighted_least_squares,measured_graph,7,sigma
0.0005623413251903491,1148.8186435240066,6.924148571356682,weighted_least_squares,measured_graph,7,sigma
0.0007498942093324559,1151.149175044241,9.254680091591126,weighted_least_squares,measured_graph,7,sigma
0.001,1154.2656045294823,12.371109576832396,weighted_least_squares,measured_graph,7,sigma
0.001333521432163324,1158.4306884019334,16.536193449283473,weighted_least_squares,measured_graph,7,sigma
0.0017782794100389228,1163.9879096844545,22.093414731804614,weighted_least_squares,measured_graph,7,sigma
0.0023713737056616554,1171.3751160941817,29.480621141531856,weighted_least_squares,measured_graph,7,sigma
0.0031622776601683794,1181.1269709522235,39.23247599957358,weighted_least_squares,measured_graph,7,sigma
0.004216965034285823,1193.8548485958931,51.96035364324325,weighted_least_squares,measured_graph,7,sigma
0.005623413251903491,1210.2092868606678,68.31479190801792,weighted_least_squares,measured_graph,7,sigma
0.007498942093324558,1230.9084645241217,89.01396957147176,weighted_least_squares,measured_graph,7,sigma
0.01,1257.0708957117397,115.1764007590898,weighted_least_squares,measured_graph,7,sigma
0.01333521432163324,1291.043630486794,149.14913553414408,weighted_least_squares,measured_graph,7,sigma
0.01778279410038923,1336.9956570033844,195.1011620507345,weighted_least_squares,measured_graph,7,sigma
0.023713737056616554,1399.3988001640148,257.5043052113649,weighted_least_squares,measured_graph,7,sigma
0.03162277660168379,1479.5653041647759,337.67080921212596,weighted_least_squares,measured_graph,7,sigma
0.042169650342858224,1574.7912157936719,432.896720841022,weighted_least_squares,measured_graph,7,sigma
0.05623413251903491,1682.6093992683202,540.7149043156703,weighted_least_squares,measured_graph,7,sigma
0.07498942093324558,1804.5395494299144,662.6450544772645,weighted_least_squares,measured_graph,7,sigma
0.1,1942.7133427866981,800.8188478340483,weighted_least_squares,measured_graph,7,sigma
1e-06,4118.730430962845,0.0,weighted_least_squares,measured_graph,8,sigma
1.333521432163324e-06,4118.738314313139,0.007883350293923286,weighted_least_squares,measured_graph,8,sigma
1.778279410038923e-06,4118.748829528077,0.018398565232018882,weighted_least_squares,measured_graph,8,sigma
2.3713737056616552e-06,4118.762855750995,0.032424788149910455,weighted_least_squares,measured_graph,8,sigma
3.162277660168379e-06,4118.781567755623,0.051136792777469964,weighted_least_squares,measured_graph,8,sigma
4.216965034285822e-06,4118.8065339198965,0.07610295705126191,weighted_least_squares,measured_graph,8,sigma
5.623413251903491e-06,4118.83985071941,0.10941975656442082,weighted_least_squares,measured_graph,8,sigma
7.498942093324558e-06,4118.884321579141,0.15389061629593925,weighted_least_squares,measured_graph,8,sigma
