D,chi2,delta_chi2,objective,tile_id,weight_mode
0.01333521432163324,14.336648992482816,14.278622774951538,weighted_least_squares,6,sigma
0.01778279410038923,20.478812714339035,20.420786496807757,weighted_least_squares,6,sigma
0.023713737056616554,27.192890814135385,27.134864596604107,weighted_least_squares,6,sigma
0.03162277660168379,34.01181776000084,33.95379154246956,weighted_least_squares,6,sigma
0.042169650342858224,40.71473189831743,40.65670568078615,weighted_least_squares,6,sigma
0.05623413251903491,47.31788597587442,47.25985975834314,weighted_least_squares,6,sigma
0.07498942093324558,53.969246509091434,53.911220291560156,weighted_least_squares,6,sigma
0.1,60.84037953146495,60.78235331393367,weighted_least_squares,6,sigma
1e-06,0.5835680210298853,0.33279205798149697,weighted_least_squares,7,sigma
1.333521432163324e-06,0.5833556143403132,0.33257965129192496,weighted_least_squares,7,sigma
1.778279410038923e-06,0.583072471773626,0.3322965087252377,weighted_least_squares,7,sigma
2.3713737056616552e-06,0.5826950819155429,0.3319191188671546,weighted_least_squares,7,sigma
3.162277660168379e-06,0.5821921558195912,0.3314161927712029,weighted_least_squares,7,sigma
4.216965034285822e-06,0.5815220855154933,0.33074612246710505,weighted_least_squares,7,sigma
5.623413251903491e-06,0.5806295852167852,0.3298536221683969,weighted_least_squares,7,sigma
7.498942093324558e-06,0.579441288005221,0.3286653249568327,weighted_least_squares,7,sigma
1e-05,0.5778599960260804,0.3270840329776921,weighted_least_squares,7,sigma
1.333521432163324e-05,0.5757572277457372,0.32498126469734895,weighted_least_squares,7,sigma
1.778279410038923e-05,0.5729636655722519,0.3221877025238636,weighted_least_squares,7,sigma
2.3713737056616554e-05,0.5692571065774624,0.31848114352907414,weighted_least_squares,7,sigma
3.1622776601683795e-05,0.564347614095997,0.3135716510476087,weighted_least_squares,7,sigma
4.216965034285822e-05,0.5578598910574118,0.30708392800902357,weighted_least_squares,7,sigma
5.623413251903491e-05,0.54931363709955,0.29853767405116166,weighted_least_squares,7,sigma
7.498942093324559e-05,0.5381042281804824,0.28732826513209414,weighted_least_squares,7,sigma
0.0001,0.523489175910895,0.27271321286250677,weighted_least_squares,7,sigma
0.0001333521432163324,0.5045918145101377,0.2538158514617494,weighted_least_squares,7,sigma
0.00017782794100389227,0.4804448878876641,0.2296689248392758,weighted_least_squares,7,sigma
0.00023713737056616554,0.45011743948988436,0.19934147644149608,weighted_least_squares,7,sigma
0.00031622776601683794,0.4130062439390956,0.1622302808907073,weighted_least_squares,7,sigma
0.00042169650342858224,0.3694414646985162,0.1186655016501279,weighted_least_squares,7,sigma
0.0005623413251903491,0.32187895462675276,0.07110299157836447,weighted_least_squares,7,sigma
0.0007498942093324559,0.2771694597234469,0.026393496675058636,weighted_least_squares,7,sigma
0.001,0.2507759630483883,0.0,weighted_least_squares,7,sigma
0.001333521432163324,0.27446040204240224,0.023684438994013957,weighted_least_squares,7,sigma
0.0017782794100389228,0.41002046786746726,0.15924450481907898,weighted_least_squares,7,sigma
0.0023713737056616554,0.7732300953740427,0.5224541323256544,weighted_least_squares,7,sigma
