D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.001,0.0031622776601683794,0.005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,0.26709360753813854,0.00017925745472358292,0.019440534356817026,6.88496431384823e-14,0.0688496431384823,6.100000157101046e-14,0.061000001571010466,1490,0.019940893190715906,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0026741892632439978,3e-14,0.03,3e-14,0.03,H1+H2,interior,31.42468564250971,339,339,339,1695,205,weighted_least_squares,False,31,sigma,3.5,3.75
0.07498942093324558,0.07498942093324558,0.07498942093324558,0.07498942093324558,0.07498942093324558,mosaic_flow_free_boundary,13708.24239995877,10.04266842487822,0.4369309835391039,3.2008596862662464e-12,3.2008596862662464,6.100000157101046e-14,0.061000001571010466,1365,6.751049211564916,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.7375638599015719,3e-14,0.03,3e-14,0.03,H1+H2,periphery,5277.912223886178,296,296,296,1480,115,weighted_least_squares,False,32,sigma,0.0,0.0
1e-06,2.3713737056616554e-05,0.0001,1e-06,1e-06,mosaic_flow_free_boundary,19010.483343633226,16.82343658728604,0.6631435130606915,3.2008596862662464e-12,3.2008596862662464,6.100000002331573e-14,0.06100000002331573,1130,8.651803922530416,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.8630593223330192,3e-14,0.03,3e-14,0.03,H1+H2,periphery,2368.5555867097028,250,250,250,1250,120,weighted_least_squares,False,33,sigma,1.375,2.0
0.001,0.004216965034285823,0.01333521432163324,1e-06,1e-06,mosaic_flow_free_boundary,0.06945116653615857,4.4952211350264444e-05,0.011963000253682661,7.398193918184948e-14,0.07398193918184948,6.10000012819674e-14,0.0610000012819674,1545,0.007574661186429444,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0011155794273843603,3e-14,0.03,3e-14,0.03,H1+H2,interior,6.4686258433393675,344,344,344,1720,175,weighted_least_squares,False,34,sigma,3.625,4.125
0.001,0.1,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.019304149020863297,1.6020040681214354e-05,0.007884454875580971,7.398193918184948e-14,0.07398193918184948,6.100000300388046e-14,0.06100000300388046,1205,0.002714116619649129,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.00027672388388345394,3e-14,0.03,3e-14,0.03,H1+H2,interior,0.7156642299783255,277,277,277,1385,180,weighted_least_squares,True,35,sigma,5.0,5.0
0.001,0.1,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.0005374964410123313,7.16661921349775e-07,0.0015877922472971677,6.123624750886731e-14,0.06123624750886731,6.100000001527331e-14,0.06100000001527331,750,0.0007735716296294289,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,5.853895850978609e-05,3e-14,0.03,3e-14,0.03,H1+H2,interior,0.01622775485628529,172,172,172,860,110,weighted_least_squares,True,36,sigma,5.0,5.0
0.0005623413251903491,0.05623413251903491,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.06666859849118127,0.00020833937028494147,0.024925704204016654,7.283629193022922e-14,0.07283629193022922,6.100019163308788e-14,0.061000191633087876,320,0.014895588113623884,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0008123572432970663,3e-14,0.03,3e-14,0.03,H1+H2,interior,1.208911396263802,79,79,79,395,75,weighted_least_squares,False,37,sigma,4.75,5.0
0.001,0.1,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.0651124712445577,0.00024570743865870827,0.026793190415737408,7.283629193022922e-14,0.07283629193022922,6.100019163308788e-14,0.061000191633087876,265,0.015450899452059455,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0008393125387553808,3e-14,0.03,3e-14,0.03,H1+H2,interior,0.9931312303230622,68,68,68,340,75,weighted_least_squares,True,38,sigma,5.0,5.0
0.001,0.0031622776601683794,0.007498942093324558,1e-06,1e-06,mosaic_flow_free_boundary,0.14878935717997388,0.00010781837476809701,0.018337019493240014,7.283629193022922e-14,0.07283629193022922,6.100000387488457e-14,0.06100000387488457,1380,0.01273844810576814,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0008122789218980592,3e-14,0.03,3e-14,0.03,H1+H2,interior,15.871977253989561,298,298,298,1490,110,weighted_least_squares,False,39,sigma,3.5,3.875
0.001,0.001333521432163324,0.0017782794100389228,0.001,0.0005623413251903491,mosaic_flow_free_boundary,2.9987930526096878,0.0017956844626405317,0.05671555310754428,1.39447442147583e-13,0.139447442147583,6.100000000174101e-14,0.061000000001741016,1670,0.068225341404027,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.006969635085809392,3e-14,0.03,3e-14,0.03,H1+H2,interior,1021.9922699574759,376,376,376,1880,210,weighted_least_squares,False,40,sigma,0.12499999999999999,0.49999999999999994
