D_hat,D_hi_lr3,D_lo_lr3,D_p025,D_p500,D_p975,ablation,chi2_h1_red_at_mode,harmonics,location,log_likelihood_at_mode,log_posterior_at_mode,log_prior_at_mode,max_neg2_delta_logpost,mode_at_grid_boundary,n_boundary,n_h1,n_obs,n_params_marginalized,objective,observation_source,sigma_h1_nL_s_at_mode,tile_id,weight_mode,width_decades_lr3
0.00794328234724282,0.012589254117941675,0.005011872336272725,0.004069473458989837,0.006355479408263213,0.009975396394663577,bayes_h1_marginal_boundary,1.0000100649777337,H1,interior,3873.5940967629454,3873.3320748303377,-0.26202193260779433,53.35595415929765,False,19,72,144,38,bayes_h1_marginal_boundary,measured_graph,1.1390542953867298,55,h1_z,0.3999999999999999
0.01584893192461114,0.1,1.584893192461114e-05,3.245893139377595e-05,0.005414448443980478,0.058922767952452805,bayes_h1_marginal_boundary,1.0000010227940743,H1,interior,2650.014649600562,2649.490455045671,-0.5241945548910899,6.581591511417173,False,25,52,104,50,bayes_h1_marginal_boundary,measured_graph,5.0405332478153575,56,h1_z,3.8
0.002511886431509582,0.1,1.9952623149688786e-05,4.125553000064533e-05,0.002363143192460142,0.07007649722374801,bayes_h1_marginal_boundary,1.0000000607396506,H1,interior,5398.753268195559,5398.7282006334235,-0.025067562135635053,7.211162782028623,False,24,104,208,48,bayes_h1_marginal_boundary,measured_graph,3.668364982594124,57,h1_z,3.7
0.1,0.1,0.001,6.18607112443199e-05,0.04768306191266153,0.09811428253394838,bayes_h1_marginal_boundary,1.0000000799500504,H1,interior,5306.747675907575,5305.0843543599285,-1.663321547646544,10.856730107936528,True,36,102,204,72,bayes_h1_marginal_boundary,measured_graph,3.01544387779722,58,h1_z,2.0
0.1,0.1,0.1,0.07962944215821999,0.08955356008113846,0.09947767800405694,bayes_h1_marginal_boundary,1.0000023971897338,H1,interior,7642.471107442702,7640.8077858950555,-1.663321547646544,137.5597910000888,True,36,136,272,72,bayes_h1_marginal_boundary,measured_graph,0.30801853668206486,59,h1_z,0.0
0.0007943282347242822,0.0019952623149688807,0.00019952623149688788,0.00015226998277231927,0.000630983031340439,0.0015757969635620825,bayes_h1_marginal_boundary,1.0000001243573566,H1,periphery,6372.2105488414,6372.172435649736,-0.03811319166347554,102.46511314231611,False,24,110,220,48,bayes_h1_marginal_boundary,measured_graph,0.1165979908611168,60,h1_z,1.0000000000000004
0.00031622776601683794,0.0031622776601683794,7.943282347242822e-05,7.991150292761211e-05,0.00034113332207751356,0.0024416106691678057,bayes_h1_marginal_boundary,1.0000001945911214,H1,periphery,5490.360857310659,5490.132307615374,-0.22854969528574837,25.675582968673552,False,25,93,186,50,bayes_h1_marginal_boundary,measured_graph,0.06696768903096627,61,h1_z,1.5999999999999996
0.000630957344480193,0.005011872336272725,1e-05,1.5033361380423687e-05,0.00032356450272295504,0.0028729202558288166,bayes_h1_marginal_boundary,1.0000058055119971,H1,interior,7108.062319151451,7107.991596833883,-0.07072231756904392,44.457339560112814,False,39,128,256,78,bayes_h1_marginal_boundary,measured_graph,0.4657268522186697,62,h1_z,2.7
0.000630957344480193,0.01,1e-05,1.58349308096319e-05,0.0003892040124234177,0.004633387842101754,bayes_h1_marginal_boundary,1.0000000956527917,H1,interior,6253.907818731942,6253.837096414373,-0.07072231756904392,15.285754082966378,False,31,114,228,62,bayes_h1_marginal_boundary,measured_graph,0.7323869851132612,63,h1_z,3.0
0.001,0.012589254117941675,1e-05,1.761129567744865e-05,0.0005655591654043669,0.006890767206910462,bayes_h1_marginal_boundary,1.000000130443395,H1,interior,3512.43620591336,3512.4207018476022,-0.015504065757907535,19.98604001214335,False,28,66,132,56,bayes_h1_marginal_boundary,measured_graph,1.4723908626332711,64,h1_z,3.1
0.0012589254117941675,0.01995262314968881,1e-05,1.7760369215860267e-05,0.0005953987210712428,0.008960541143624655,bayes_h1_marginal_boundary,1.0000000985003104,H1,interior,6581.762378760978,6581.759483821126,-0.0028949398523394052,12.523244386336955,False,29,121,242,58,bayes_h1_marginal_boundary,measured_graph,0.9872479341001322,65,h1_z,3.3000000000000003
0.00039810717055349735,0.001,1e-05,1.1254498353791876e-05,0.00014050579138561107,0.000658015570084716,bayes_h1_marginal_boundary,1.0000023646851859,H1,interior,10619.09430728976,10618.92836672038,-0.16594056938017995,396.30948983958297,False,34,184,368,68,bayes_h1_marginal_boundary,measured_graph,0.1540789378597816,66,h1_z,2.0
0.000630957344480193,0.0012589254117941675,0.00039810717055349735,0.00039362494488702683,0.000625351208587622,0.0009943833254800645,bayes_h1_marginal_boundary,1.0000008770220514,H1,interior,13386.049699188357,13385.978976870789,-0.07072231756904392,222.33320009229283,False,38,227,454,76,bayes_h1_marginal_boundary,measured_graph,0.08070956410289801,67,h1_z,0.49999999999999994
0.0002511886431509582,0.05011872336272725,1e-05,1.3909599105218403e-05,0.0002101265541718024,0.02569211148718773,bayes_h1_marginal_boundary,1.0000000083701381,H1,periphery,12747.248501323837,12746.947342502644,-0.30115882119131615,12.826147956027853,False,26,215,430,52,bayes_h1_marginal_boundary,measured_graph,0.07765414705616072,68,h1_z,3.7
0.00019952623149688788,0.001,1e-05,1.1413595526446403e-05,0.00011642421087496257,0.0006129252527144247,bayes_h1_marginal_boundary,1.000000149808849,H1,periphery,9154.538053668934,9154.154285721837,-0.38376794709688455,70.94658600976618,False,26,162,324,52,bayes_h1_marginal_boundary,measured_graph,0.33068028680430817,69,h1_z,2.0
0.01995262314968881,0.025118864315095822,0.01584893192461114,0.012729432905378485,0.01763010567871347,0.024261892383561037,bayes_h1_marginal_boundary,1.00000001317319,H1,interior,16107.979749695965,16107.34816426698,-0.6315854289855218,151.906502211943,False,46,271,542,92,bayes_h1_marginal_boundary,measured_graph,0.059055366950464934,70,h1_z,0.2000000000000002
