D,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,tile_group,weight_mode
0.001,16.784155577770434,491350.43414924823,491350.41864518245,-0.015504065757907535,16.784155577770434,bayes_h1_marginal_boundary,measured_graph,0.00017622749111858573,interior,h1_z
0.0012589254117941675,2.5089026858331636,491357.5591665683,491357.5562716284,-0.0028949398523394052,2.5089026858331636,bayes_h1_marginal_boundary,measured_graph,0.2217713487599765,interior,h1_z
0.001584893192461114,-0.0,491358.81100878527,491358.81072297134,-0.0002858139467712683,-0.0,bayes_h1_marginal_boundary,measured_graph,0.7775113433575629,interior,h1_z
0.0019952623149688807,14.540581854060292,491351.5481087323,491351.5404320443,-0.007676688041203171,14.540581854060292,bayes_h1_marginal_boundary,measured_graph,0.0005410775344151808,interior,h1_z
0.002511886431509582,52.43414056394249,491332.6187202515,491332.59365268936,-0.025067562135635053,52.43414056394249,bayes_h1_marginal_boundary,measured_graph,3.197258706501673e-12,interior,h1_z
0.0031622776601683794,120.38376298802905,491298.67129991355,491298.6188414773,-0.05245843623006681,120.38376298802905,bayes_h1_marginal_boundary,measured_graph,5.619591482500053e-27,interior,h1_z
0.003981071705534973,224.51872729556635,491246.6412086339,491246.55135932355,-0.08984931032449865,224.51872729556635,bayes_h1_marginal_boundary,measured_graph,1.3711487106143392e-49,interior,h1_z
0.005011872336272725,369.29087505687494,491174.3025256273,491174.1652854429,-0.13724018441893068,369.29087505687494,bayes_h1_marginal_boundary,measured_graph,5.014320699861234e-81,interior,h1_z
0.006309573444801936,556.2472748765722,491080.88171659154,491080.68708553305,-0.19463105851336257,556.2472748765722,bayes_h1_marginal_boundary,measured_graph,1.2680772393651628e-121,interior,h1_z
0.00794328234724282,782.9691041322658,490967.58819283784,490967.3261709052,-0.26202193260779433,782.9691041322658,bayes_h1_marginal_boundary,measured_graph,7.432347742716915e-171,interior,h1_z
0.01,1042.9665360641666,490837.666867746,490837.32745493925,-0.3394128067022262,1042.9665360641666,bayes_h1_marginal_boundary,measured_graph,2.5906039453399226e-227,interior,h1_z
0.012589254117941675,1326.9577008429915,490695.7586762306,490695.33187254984,-0.42680368079665804,1326.9577008429915,bayes_h1_marginal_boundary,measured_graph,5.565486533312641e-289,interior,h1_z
0.01584893192461114,1625.2517141120043,490546.7090604702,490546.18486591533,-0.5241945548910899,1625.2517141120043,bayes_h1_marginal_boundary,measured_graph,0.0,interior,h1_z
0.01995262314968881,1930.3303507661913,490394.2771330172,490393.64554758824,-0.6315854289855218,1930.3303507661913,bayes_h1_marginal_boundary,measured_graph,0.0,interior,h1_z
0.025118864315095822,2238.5613104180666,490240.2790440654,490239.5300677623,-0.7489763030799538,2238.5613104180666,bayes_h1_marginal_boundary,measured_graph,0.0,interior,h1_z
