D,chi2_h1_red,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,tile_id,weight_mode
0.0019952623149688807,1.0000000000005054,0.8266710438983864,18384.521624743862,18384.51394805582,-0.007676688041203171,0.8266710438983864,bayes_h1_marginal_boundary,measured_graph,0.09186062254930785,0.052693155293289405,2,h1_z
0.002511886431509582,1.0000000000006002,2.3259264073421946,18383.789387936235,18383.7643203741,-0.025067562135635053,2.3259264073421946,bayes_h1_marginal_boundary,measured_graph,0.043408044206276745,0.052712109920296894,2,h1_z
0.0031622776601683794,1.0000000000009515,5.301743705407716,18382.328870161295,18382.276411725066,-0.05245843623006681,5.301743705407716,bayes_h1_marginal_boundary,measured_graph,0.009803467261266812,0.05279531513710584,2,h1_z
0.003981071705534973,1.0000000000014475,10.490834896183515,18379.77171544,18379.68186612968,-0.08984931032449865,10.490834896183515,bayes_h1_marginal_boundary,measured_graph,0.0007321210058719679,0.05297735967532807,2,h1_z
0.005011872336272725,1.0000000000020315,18.541383117903024,18375.79383220324,18375.65659201882,-0.13724018441893068,18.541383117903024,bayes_h1_marginal_boundary,measured_graph,1.3074603677350345e-05,0.053289678646727526,2,h1_z
0.006309573444801936,1.0000000000028983,29.72369645765866,18370.260066407453,18370.06543534894,-0.19463105851336257,29.72369645765866,bayes_h1_marginal_boundary,measured_graph,4.87775568819277e-08,0.05374744817360163,2,h1_z
0.00794328234724282,1.0000000000037137,43.73739021284564,18363.320610403956,18363.058588471347,-0.26202193260779433,43.73739021284564,bayes_h1_marginal_boundary,measured_graph,4.417586982734824e-11,0.05434016578611969,2,h1_z
0.01,1.000000000004586,59.77574426049978,18355.37882425422,18355.03941144752,-0.3394128067022262,59.77574426049978,bayes_h1_marginal_boundary,measured_graph,1.4537869923185558e-14,0.05503335222904819,2,h1_z
0.012589254117941675,1.0000000000053064,76.81749573933484,18346.945339388898,18346.518535708103,-0.42680368079665804,76.81749573933484,bayes_h1_marginal_boundary,measured_graph,2.896886394730796e-18,0.05578081166519065,2,h1_z
0.01584893192461114,1.0000000000059928,93.9346819528655,18338.48413715623,18337.959942601337,-0.5241945548910899,93.9346819528655,bayes_h1_marginal_boundary,measured_graph,5.558808398247301e-22,0.05653845490404134,2,h1_z
0.01995262314968881,1.0000000000067562,110.439850611765,18330.338943700874,18329.707358271888,-0.6315854289855218,110.439850611765,bayes_h1_marginal_boundary,measured_graph,1.4485379218446768e-25,0.05727144963659182,2,h1_z
0.025118864315095822,1.0000000000078215,125.86998403760663,18322.741267862046,18321.992291558967,-0.7489763030799538,125.86998403760663,bayes_h1_marginal_boundary,measured_graph,6.461286050586796e-29,0.057954053229037364,2,h1_z
0.03162277660168379,1.0000000000091362,139.91064291339717,18315.848329298246,18314.97196212107,-0.8763671771743852,139.91064291339717,bayes_h1_marginal_boundary,measured_graph,5.77335991174162e-32,0.05856665861485125,2,h1_z
0.039810717055349734,1.0000000000110634,152.37043654116133,18309.755823358457,18308.74206530719,-1.0137580512688171,152.37043654116133,bayes_h1_marginal_boundary,measured_graph,1.1371527951450926e-34,0.05909537344412079,2,h1_z
0.05011872336272725,1.0000000000136626,163.2591438870295,18304.45886055962,18303.297711634255,-1.1611489253632492,163.2591438870295,bayes_h1_marginal_boundary,measured_graph,4.913218353672384e-37,0.05953695220606917,2,h1_z
0.06309573444801936,1.0000000000173905,172.90064469628123,18299.795501029086,18298.47696122963,-1.3185397994576809,172.90064469628123,bayes_h1_marginal_boundary,measured_graph,3.96041563313973e-39,0.05990553312260338,2,h1_z
