D,chi2_h1_red,chi2_h2_red,delta_chi2,harmonics,log_likelihood,log_posterior,log_prior,n_h1,n_h2,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,sigma_h2_nL_s,tile_id,weight_mode
0.06309573444801936,1.0000000002933749,1.0000000000050966,108.81849973568751,H1+H2,23606.27154403412,23604.953004234663,-1.3185397994576809,182,221,108.81849973568751,bayes_h1h2_marginal_boundary,measured_graph,1.1968232137605074e-24,0.2036632414033168,0.04352863984527961,21,h1:h1_z;h2:h2_z
0.07943282347242822,1.0000000002356604,1.0000000000051366,111.60511561451858,H1+H2,23605.0456269688,23603.559696295248,-1.4859306735521132,182,221,111.60511561451858,bayes_h1h2_marginal_boundary,measured_graph,2.9711464194568456e-25,0.1967228144083701,0.04438832074600452,21,h1:h1_z;h2:h2_z
0.1,1.000000000182605,1.000000000005536,108.7336402293513,H1+H2,23606.658755535478,23604.99543398783,-1.663321547646544,182,221,108.7336402293513,bayes_h1h2_marginal_boundary,measured_graph,1.2486968378006179e-24,0.18871497537467893,0.04517949877066467,21,h1:h1_z;h2:h2_z
1e-05,1.0000000001727203,0.9999999944098884,2.51852766131924,H1+H2,36384.36251646065,36381.99482987678,-2.3676865838692702,285,311,2.51852766131924,bayes_h1h2_marginal_boundary,measured_graph,0.03609707564829094,0.05718478222550748,0.01472965394291922,22,h1:h1_z;h2:h2_z
1.2589254117941661e-05,1.000000000539269,0.9999999846275235,2.080939006758854,H1+H2,36384.368701662024,36382.21362420406,-2.155077457963703,285,311,2.080939006758854,bayes_h1h2_marginal_boundary,measured_graph,0.04492552785817651,0.05718358864697704,0.014724289966644346,22,h1:h1_z;h2:h2_z
1.584893192461114e-05,1.0000000017717054,0.9999999648317083,1.62828363366134,H1+H2,36384.39242022266,36382.43995189061,-1.952468332058134,285,311,1.62828363366134,bayes_h1h2_marginal_boundary,measured_graph,0.05633600599985735,0.057181210563099834,0.014716997584381542,22,h1:h1_z;h2:h2_z
1.9952623149688786e-05,1.0000000059674958,0.9999999375919537,1.1604860961961094,H1+H2,36384.433709865494,36382.67385065934,-1.7598592061525666,285,311,1.1604860961961094,bayes_h1h2_marginal_boundary,measured_graph,0.0711814775387805,0.05717684362633306,0.014708168628636616,22,h1:h1_z;h2:h2_z
2.5118864315095822e-05,1.000000020071589,0.9999999203433921,0.6989428805100033,H1+H2,36384.48187234743,36382.90462226718,-1.5772500802469966,285,311,0.6989428805100033,bayes_h1h2_marginal_boundary,measured_graph,0.08965816259514116,0.05716920545027948,0.014699060925578078,22,h1:h1_z;h2:h2_z
3.1622776601683795e-05,1.0000000656513863,0.9999999315329007,0.2971338016213849,H1+H2,36384.51016776097,36383.10552680663,-1.404640954341429,285,311,0.2971338016213849,bayes_h1h2_marginal_boundary,measured_graph,0.10960782686149449,0.05715628515626778,0.014691680271425504,22,h1:h1_z;h2:h2_z
3.9810717055349695e-05,1.0000002032887592,0.9999999618729297,0.03646930340619292,H1+H2,36384.47789088417,36383.235859055734,-1.2420318284358616,285,311,0.03646930340619292,bayes_h1h2_marginal_boundary,measured_graph,0.12486598398496727,0.057134998246247896,0.014688065571508051,22,h1:h1_z;h2:h2_z
5.011872336272725e-05,1.0000005802834218,0.9999999862573059,-0.0,H1+H2,36384.343516409965,36383.25409370744,-1.089422702530293,285,311,-0.0,bayes_h1h2_marginal_boundary,measured_graph,0.12716375759563173,0.05710076433805324,0.014689471283784655,22,h1:h1_z;h2:h2_z
6.309573444801929e-05,1.0000000085105571,0.9999999966818361,0.23727703295298852,H1+H2,36384.08226876758,36383.13545519096,-0.9468135766247254,285,311,0.23727703295298852,bayes_h1h2_marginal_boundary,measured_graph,0.11293779374130129,0.05704716631437714,0.014696198926290408,22,h1:h1_z;h2:h2_z
7.943282347242822e-05,1.000000027881387,0.9999999994314499,0.7457782758428948,H1+H2,36383.695409020234,36382.881204569516,-0.8142044507191568,285,311,0.7457782758428948,bayes_h1h2_marginal_boundary,measured_graph,0.08758296782557205,0.05696583467671929,0.014708117509619138,22,h1:h1_z;h2:h2_z
