u,v,Q_dc_nL_s,Q_h1_real_nL_s,Q_h1_imag_nL_s,amp_h1_nL_s,phase_h1_rad,Q_h2_real_nL_s,Q_h2_imag_nL_s,amp_h2_nL_s,phase_h2_rad,measured_mean_Q_nL_s,measured_amp_h1_nL_s,measured_phase_h1_rad
238,282,0.03463063403188533,0.0005650831036153523,-0.002272986756040863,0.0023421758488910956,-1.327128039028693,0.00012366703756460932,-0.0007171936931092616,0.0007277776649607407,-1.4000435766977655,0.03401202767421013,4.006116808758607,1.2836063377410052
246,304,0.01670050956495742,0.00036675084647590803,-0.0011523200079556234,0.0012092756443944628,-1.2626619302324296,8.558491342218984e-05,-0.00037448288946721677,0.0003841382718620984,-1.3461135195940193,0.037811558160248365,1.476246469707634,-1.7788468960485713
282,984,0.0346306340318852,0.0008622283861178862,-0.0024312456006828557,0.002579611009564658,-1.229989690317662,0.0002216223773511528,-0.0007990195939012408,0.0008291856182911523,-1.3002300445712383,0.03159530748367118,,
304,358,0.017083670800268107,0.0005029355451489987,-0.0012481273657585369,0.0013456470873634235,-1.1877476279543455,0.00012881238606981862,-0.0004188493435918291,0.00043820931463434923,-1.2724377164535434,,,
311,363,0.014057342306267375,0.0004170799520771497,-0.0010301221262433828,0.0011113538056806507,-1.1860867209023738,0.00010676379171250332,-0.0003463218217273026,0.0003624048998362858,-1.2717614087854372,0.08873561987747032,0.03170951766228222,0.19930525786820832
311,358,0.00664845160332401,0.00012738805396993644,-0.00043220233118246206,0.00045058469944484587,-1.2841706061567357,3.69080517904985e-05,-0.000135806422291181,0.00014073232969897395,-1.3054359026189586,,,
326,347,0.005429368461984902,8.91823004258697e-05,-0.0003506934031172702,0.00036185542098913245,-1.3217721247845184,2.234956339030974e-05,-0.00010961188583379785,0.00011186719134660979,-1.3696562237092966,0.02426593295516866,0.009852205750167604,0.4165515766674591
326,685,0.0018392908070381454,7.233755035038593e-05,-0.00015520361817684145,0.00017123342047006306,-1.1346497144156729,1.4465996553234383e-05,-5.5700642543927453e-05,5.754847205690669e-05,-1.316700216069312,0.03554533916186474,0.00975536232439276,0.2176467834843506
347,409,0.005097778950580617,0.00014260397408014604,-0.0003686268673295808,0.00039524885925284006,-1.2016757203033788,3.6364474676642013e-05,-0.00012314297589229153,0.00012840002932288462,-1.283654373781627,0.02254324441799795,0.009482571517113693,-2.317269391222399
358,371,0.023732122403592196,0.0007290682526113609,-0.0017306596397225014,0.001877957216107492,-1.1720925646515792,0.00019906065460511676,-0.0005806450527124696,0.0006138190461783376,-1.2405261708156672,0.07839521206144039,0.027403634458532933,-2.200848748254697
363,381,0.01433226540791997,0.0005143722198602431,-0.0010754388197116282,0.0011921188848041516,-1.124666626387845,0.0001483672934928889,-0.0003663076577037997,0.00039521406082128346,-1.18595728423201,0.05493337341013683,0.04041775822535191,nan
363,409,-0.0002749231016525772,1.0168751870150727e-05,-7.23440159457732e-06,1.247958657281229e-05,-0.6183590177657766,-4.515734717352026e-06,-7.144097498165509e-06,8.451626417488711e-06,-2.1344800440470366,0.019498889296848464,0.006920327502954283,0.15854211463348164
371,1309,0.01737386873986968,0.0006937781775333893,-0.0013444933703161638,0.0015129410373328064,-1.0944192908855972,0.000200370553133707,-0.00046489056275453685,0.0005062327467690506,-1.1638496864586574,,,
371,1002,0.006358253663722446,0.0001818308488058668,-0.00045491972672908996,0.0004899126609353262,-1.190549669849386,5.0277998097384215e-05,-0.00015115549058405446,0.0001592980207861565,-1.249683985356399,0.04523536651635343,0.01367846954839215,-2.3801278384564695
381,1309,-0.0009113911665874191,-9.271328131996632e-05,0.00010098880877076016,0.00013709300503691785,2.3134974909995334,-2.812711086519311e-05,3.99931223248302e-05,4.889360079715643e-05,2.183732753334349,0.03616108700639523,0.01475734466303832,-2.3054168987265045
381,1339,0.0152436565745074,0.0006493616142468663,-0.001195246360488482,0.0013602515827295545,-1.0731217818864376,0.0001917350343117402,-0.0004159715728077083,0.0004580334843290856,-1.138887784256781,0.05847930198910017,0.02068461119273529,-2.224119047109155
397,703,-0.005870794295047569,-0.00017525638356823112,0.00040457552714357565,0.00044090379579327403,1.9795799607099378,-5.7628457538669954e-05,0.0001319160671297867,0.0001439544646243272,1.9826669438981162,0.02774392342286344,0.025477396479608762,0.24821011466648635
397,409,-0.004822855848928033,-0.0002632566101284629,0.0004269651160919357,0.0005016006909242945,2.1233152700652194,-7.109577473310221e-05,0.0001568100630058019,0.00017217434490882658,1.9964640033645094,0.06183524278559161,0.023971894336720537,0.34233376456133513
397,715,0.010693650143975612,0.00043851299369669405,-0.0008315406432355051,0.0009400816384726139,-1.0855088397544155,0.00012872423227177217,-0.0002887261301355896,0.00031612134726561973,-1.1514113589988766,0.06983832096727816,,
431,435,0.08377801220342923,-0.0007792667786625025,-0.004072586142532578,0.004146470137439243,-1.7598555646312635,-0.0003070729470015262,-0.001013971749590701,0.0010594491510913721,-1.8648581589644715,,,
431,1899,-0.07942762894204963,0.0007825969037941057,0.00382314932830445,0.0039024260019048266,1.3688860906298077,0.00029950708697521833,0.0009428424716064447,0.0009892706512443046,1.2632138530306318,0.21570572231283516,0.020859687250418018,-2.7931246326210393
431,561,-0.004350383261379616,-3.330125131526359e-06,0.00024943681422818256,0.0002494590427819695,1.5841461096307103,7.565860026305551e-06,7.112927798425663e-05,7.153052791989797e-05,1.4648270442597713,0.001501559425657563,,
435,456,0.0075298928988501036,-0.00012819717890035444,-0.0003218104583028852,0.00034640509198209326,-1.9498901626520957,-4.411928629740733e-05,-7.001916850122635e-05,8.275986576231092e-05,-2.1330567832321603,0.018422481684009083,,
456,467,0.001537442212957369,-1.5969021861551813e-05,-7.3469694006439e-05,7.518514212671608e-05,-1.7848225587536433,-5.7174089727872574e-06,-1.785187682859493e-05,1.8745086600638388e-05,-1.8807435820005993,0.008890872604106738,,
456,497,0.005992450685892755,-2.142448572348114e-05,-0.00032232271378422134,0.0003230339616971267,-1.637167749272252,-1.9111843044559845e-05,-8.87203143785862e-05,9.075547767487678e-05,-1.7829708031552922,,,
467,483,-0.0007383954547329149,2.963510282762963e-06,3.5245448525707676e-05,3.5369818136009e-05,1.4869115677939662,-1.3280806778816994e-06,8.282812557126145e-06,8.38861026293684e-06,1.7297847928488017,0.01896563751843789,,
483,496,-0.0073395250859961325,-3.234499277038793e-05,0.0004362377907594409,0.0004374352622320178,1.6448062261822622,4.343054957167446e-06,0.00012841135419285608,0.00012848477735515643,1.5369877891505004,0.011743274816610721,,
483,675,0.00660112963126322,8.311989280716713e-05,-0.00043523894108814503,0.0004431047871777112,-1.3820932183727714,6.563740064982584e-06,-0.0001374317118859003,0.00013758836475345496,-1.5230725800482343,0.04008605038334191,0.011591730146646308,-2.422745777548847
496,497,-0.007852407363762451,-5.712025859384556e-06,0.0004464613640481544,0.0004464979023771074,1.5835896269315672,1.2608623299221088e-05,0.0001272302108129069,0.00012785344705950794,1.4720179910319333,0.014965386160345727,,
