C_dimensionless,conductance_m3_per_Pa_s,edge_u,edge_v,geometry_source,harmonic,length_m,radius_m
0.005434678179300085,1.0148945850712118e-16,8259,8388,radius_adapted_m+length_true,1,0.0001172979818447749,3.209444784812699e-06
0.0005240517777937049,5.926057664823058e-16,7748,7785,radius_adapted_m+length_true,1,4.441596447126605e-05,3.913616642801118e-06
0.004550456008053704,1.3770615275489745e-16,7748,7913,radius_adapted_m+length_true,1,0.00011536004108204467,3.449484727404266e-06
0.0016136289508738393,5.798045568740829e-16,9286,9473,radius_adapted_m+length_true,1,9.332485699373154e-05,4.686210351412248e-06
0.0005758717645111042,3.6293345429239885e-16,9286,9600,radius_adapted_m+length_true,1,4.0166180088476807e-05,3.3761670187075766e-06
0.0032794414708058684,1.1705102123701393e-16,9289,9296,radius_adapted_m+length_true,1,8.78400684436295e-05,3.0939907275883587e-06
0.00017675727742352172,3.21803309610352e-13,9290,7874,radius_adapted_m+length_true,1,0.00017558309957550725,2.663914882242487e-05
0.0004545241241744302,2.200433602326778e-15,9290,9210,radius_adapted_m+length_true,1,6.255207518336132e-05,5.91819863224461e-06
0.013089213252751466,1.4441791097904288e-17,7245,2477,radius_adapted_m+length_true,1,0.00011003150553983758,1.939932273283833e-06
0.006689596964903303,2.6488527624036788e-17,7245,7335,radius_adapted_m+length_true,1,8.609678117938619e-05,2.123309110031622e-06
0.00014682753180922283,4.535695714751919e-15,2639,2553,radius_adapted_m+length_true,1,3.7478940876303486e-05,6.238926149865203e-06
0.00018724419345260082,5.120541611889047e-15,2639,2644,radius_adapted_m+length_true,1,4.589286944452307e-05,6.764992474059315e-06
0.0006269779696894231,1.5286015577595088e-15,2639,2672,radius_adapted_m+length_true,1,6.86489596885788e-05,5.530114255605636e-06
0.01410982286093763,9.039149558768481e-18,7759,7432,radius_adapted_m+length_true,1,9.895199896463582e-05,1.6803125678371112e-06
0.0015420148135319803,8.199063100287524e-17,7759,7785,radius_adapted_m+length_true,1,4.717169122123704e-05,2.4230560404465074e-06
0.00014823468246316093,9.665553696955623e-16,9296,9210,radius_adapted_m+length_true,1,2.252906343174475e-05,3.732454382830007e-06
0.0010227095584838925,4.972388628933249e-16,8275,3481,radius_adapted_m+length_true,1,6.542206352995247e-05,4.126428890327887e-06
0.00019714437318712165,6.014717877002233e-15,8275,8289,radius_adapted_m+length_true,1,5.011437881005646e-05,7.199402306789261e-06
0.0007624950170354055,2.4915943493870463e-15,8275,8304,radius_adapted_m+length_true,1,9.204879888715235e-05,6.723972142158395e-06
0.002530954320034308,1.8307676994524536e-16,2644,2536,radius_adapted_m+length_true,1,8.578966237052234e-05,3.439688304211429e-06
0.0015500651605792532,3.7154112177877244e-16,2644,2658,radius_adapted_m+length_true,1,7.83315294417831e-05,4.013173291340954e-06
0.0001981376732473432,7.314929758375621e-16,7767,7432,radius_adapted_m+length_true,1,2.4912411339607065e-05,3.5699203067469023e-06
0.00024707338140898696,1.689029012929874e-15,7767,7780,radius_adapted_m+length_true,1,3.8147318562260764e-05,4.895277559519812e-06
0.0014459074020627375,2.9014294858649485e-16,7767,7802,radius_adapted_m+length_true,1,6.886501837068048e-05,3.653042388668586e-06
0.00016936393020375754,9.64536039176955e-15,8289,3491,radius_adapted_m+length_true,1,5.300958963010151e-05,8.216186050839117e-06
0.00305987905962936,1.2312270161804066e-16,8289,8316,radius_adapted_m+length_true,1,8.53001693511511e-05,3.110455891527932e-06
0.0027794863781205963,2.3347352892507464e-16,2658,7453,radius_adapted_m+length_true,1,9.902767654095081e-05,3.788790562634438e-06
0.00030364555674938397,2.1982403312473164e-15,7780,7426,radius_adapted_m+length_true,1,4.778636739606073e-05,5.53154993188127e-06
0.0011050182929999769,4.3676927060334225e-16,7780,7982,radius_adapted_m+length_true,1,6.597276361094474e-05,4.003190227447311e-06
0.0005935980652159436,4.688318502983499e-16,7785,7787,radius_adapted_m+length_true,1,4.463768817874561e-05,3.6955726145215e-06
0.0004908925274433792,3.7496210102190624e-16,7787,7802,radius_adapted_m+length_true,1,3.650517311870956e-05,3.3234372729299836e-06
0.002313061859772528,1.4258370463000776e-16,7787,7906,radius_adapted_m+length_true,1,7.433313851312299e-05,3.1175622267884636e-06
0.0016913661114481722,2.484389651321649e-16,8813,8815,radius_adapted_m+length_true,1,7.259933799733353e-05,3.5607389292245553e-06
0.0002863806725584229,1.2961489086421964e-15,8813,8885,radius_adapted_m+length_true,1,3.853734368889866e-05,4.59342054290741e-06
0.00113609797547401,2.421893725944727e-16,2159,2175,radius_adapted_m+length_true,1,5.5211543891216336e-05,3.3040627221721047e-06
0.0010621677885639153,5.471343477971002e-16,2159,2207,radius_adapted_m+length_true,1,6.9267218961803e-05,4.287039375179363e-06
0.0010768876667651309,1.7036318642577587e-16,2159,2200,radius_adapted_m+length_true,1,4.738125143605336e-05,2.9123771168340944e-06
0.004429311200605454,5.798500075967798e-17,2672,2697,radius_adapted_m+length_true,1,8.492398384620089e-05,2.5738814872900977e-06
0.005311128917380076,9.662985949797689e-17,2672,7464,radius_adapted_m+length_true,1,0.00011363950981749891,3.145301011529216e-06
0.0002951433023083931,2.6189473805376337e-15,8304,8388,radius_adapted_m+length_true,1,4.970864053926849e-05,5.836355054766425e-06
0.0009549887116435352,1.0409245877675076e-15,8304,8409,radius_adapted_m+length_true,1,7.995388809771685e-05,5.218753131869401e-06
9.337680246141372e-05,2.0857982812278477e-14,8818,8154,radius_adapted_m+length_true,1,4.6091174401859155e-05,9.6210962525796e-06
0.0006449902810039099,5.9176698798766425e-15,8818,8831,radius_adapted_m+length_true,1,0.00010984662013032634,8.724416649265724e-06
0.000959288950186741,8.576040223122954e-16,8815,8838,radius_adapted_m+length_true,1,7.517894691947162e-05,4.896072064249396e-06
0.00016855785126031295,1.229460695022935e-14,8826,8831,radius_adapted_m+length_true,1,5.7293481603190265e-05,8.901373114280588e-06
0.0068710114102002685,1.6724140770866931e-16,8826,8937,radius_adapted_m+length_true,1,0.00016199292908904356,3.941958137022241e-06
0.0009936732786338302,2.118746135049168e-15,8826,8859,radius_adapted_m+length_true,1,0.00010404544103154025,6.657750783079774e-06
0.0024283503343366757,7.235326167414363e-17,7802,7807,radius_adapted_m+length_true,1,6.12436791773851e-05,2.5068704225217182e-06
0.0006083413811356929,2.919426128518317e-16,7807,7982,radius_adapted_m+length_true,1,3.874643441809051e-05,3.1687235252733184e-06
0.0008825581628687243,4.606525663878998e-16,7807,7895,radius_adapted_m+length_true,1,5.7807971397864576e-05,3.925024263251761e-06
0.000829778588240185,2.0084702148138278e-16,2175,2223,radius_adapted_m+length_true,1,4.206920336142117e-05,2.9458420733769376e-06
0.0004907485063980667,6.540693940391436e-16,7298,2434,radius_adapted_m+length_true,1,4.393543598873886e-05,4.000476574567246e-06
0.0005805946096949432,6.261315855591042e-16,7298,7335,radius_adapted_m+length_true,1,4.8436365094578405e-05,4.054724290857341e-06
0.005551119499254944,4.312855996406804e-17,7298,7459,radius_adapted_m+length_true,1,8.944231755580916e-05,2.421469705199801e-06
0.0006166608315674133,2.7467718411314144e-16,8325,7561,radius_adapted_m+length_true,1,3.8312407668742034e-05,3.1120212052430914e-06
0.0005394489665824429,6.793070799360112e-16,8325,8327,radius_adapted_m+length_true,1,4.7390355239803914e-05,4.115674935316469e-06
0.000985404787626193,5.156601138821824e-16,8838,8884,radius_adapted_m+length_true,1,6.459991783628317e-05,4.1509826305755526e-06
0.002397679923143623,1.015463990705612e-16,8327,8336,radius_adapted_m+length_true,1,6.799077432591794e-05,2.800790781695049e-06
0.0004737030780379378,3.9927839122611817e-16,2697,2706,radius_adapted_m+length_true,1,3.6402433209641406e-05,3.373677733983422e-06
0.023174452604308404,4.034812898580973e-18,2697,2727,radius_adapted_m+length_true,1,0.00010527254690965444,1.3948794379115964e-06
0.0002877009632152299,2.680866656176671e-16,8336,8343,radius_adapted_m+length_true,1,2.2860564758327707e-05,2.718582905648715e-06
0.0015002284054629188,1.602725267456387e-16,8336,8364,radius_adapted_m+length_true,1,5.7910719078911066e-05,3.015827867872495e-06
0.0011107375262311917,6.951432502551025e-16,2706,2732,radius_adapted_m+length_true,1,7.729179739569569e-05,4.677932694077037e-06
0.0038691090902484267,1.0158147448205894e-16,7827,7834,radius_adapted_m+length_true,1,9.355058213608804e-05,3.0336626969697092e-06
0.00011684779168236712,3.118301376816315e-13,7827,7874,radius_adapted_m+length_true,1,0.0001318521983418016,2.4603868945289216e-05
0.002730824600570073,1.58227724626666e-16,8343,8416,radius_adapted_m+length_true,1,8.596554196927967e-05,3.318209380635084e-06
0.0019122300804060965,7.894554284310605e-17,2200,2515,radius_adapted_m+length_true,1,5.376549424129269e-05,2.48004667324991e-06
0.0038119314214221647,5.2774140170235086e-17,2200,2248,radius_adapted_m+length_true,1,7.446258603398567e-05,2.4327185119351578e-06
