tile_id,n_observed_edges,n_boundary_nodes,n_interior_nodes,harmonics,D_mode,D_mean,D_median,D_ci95_low,D_ci95_high,W95_decades,posterior_mass_at_lower_boundary,posterior_mass_at_upper_boundary,prior_width_decades,prior_to_posterior_width_ratio,identified,cholesky_attempts,cholesky_jitter_uses,cholesky_failures,cholesky_max_jitter
14,120,39,88,H1,5.011872336272725e-05,6.475640661850898e-05,4.273312373440454e-05,9.999999999999997e-06,0.00019390375693607568,1.2875862237295561,0.03514135662807399,1.072155043649487e-13,3.9199999999999995,3.044456307279779,True,560511,0,0,0.0
13,241,35,189,H1,7.943282347242822e-05,0.00011684707519577283,6.110029891173165e-05,1.0371058355305845e-05,0.00045769815219173603,1.6447560811738622,0.02078479777017509,5.104443933911881e-08,3.9199999999999995,2.3833321213211724,True,560511,0,0,0.0
18,273,33,205,H1,6.309573444801929e-05,0.0001636988250751125,5.6485302276078705e-05,9.999999999999997e-06,0.0008892239263701341,1.9490111397565115,0.028583244028376857,3.5546037559478426e-06,3.9199999999999995,2.011276344213057,True,560511,0,0,0.0
12,298,52,228,H1,0.001584893192461114,0.005953448659424266,0.0011252308797524253,2.1007447516862435e-05,0.041217074205571316,3.292703872925201,0.004113019673358656,0.004067164282256245,3.9199999999999995,1.1905109451939617,True,560511,0,0,0.0
17,282,34,209,H1,0.0007943282347242822,0.0011405747248916683,0.0007714874137592038,0.00021959145676449552,0.0029036596116590544,1.1213302639969747,0.00020266671380235333,5.4111302505903394e-05,3.9199999999999995,3.49584785665838,True,560511,0,0,0.0
15,291,45,209,H1,2.5118864315095822e-05,2.5118864315095822e-05,2.2387211385683396e-05,2.0067810900181864e-05,2.497468389154147e-05,0.09500000000000114,1.6958406738240223e-83,0.0,3.9199999999999995,41.263157894736345,True,709236,161137,12412,3.511877554668355e-05
16,317,46,238,H1,0.0019952623149688807,0.004415926412119969,0.0009319617018334194,1.8914276597180576e-05,0.03053100906964845,3.2079514225003214,0.004853129280396124,0.002768142966055343,3.9199999999999995,1.2219636408785448,True,560511,0,0,0.0
5,421,65,319,H1,0.001584893192461114,0.007347518686438374,0.001259452447273858,2.16710272655628e-05,0.05352573592329146,3.3926831485597173,0.003919079326592918,0.00782945073548726,3.9199999999999995,1.1554276743067333,True,560516,5,0,7.83825337883051e-14
20,198,32,145,H1,0.00015848931924611142,0.00018907276022781235,0.00010882698818250398,1.119228309381594e-05,0.0006706033055845816,1.777547003332568,0.015580152121863105,2.636850290122218e-11,3.9199999999999995,2.2052862695899087,True,560511,0,0,0.0
21,182,45,131,H1,2.5118864315095822e-05,4.5116949225195766e-05,2.8013982011316744e-05,9.999999999999997e-06,0.0001475646442057994,1.168982315036821,0.04463035829491399,1.301180557901189e-16,3.9199999999999995,3.353344143513861,True,560511,0,0,0.0
