D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.001,0.007498942093324558,0.023713737056616554,1e-06,1e-06,mosaic_flow_free_boundary,0.00473008470935702,2.570698211607076e-06,7.98664700461866e-14,2.901220054476708e-14,0.02901220054476708,2.901220054476708e-14,0.02901220054476708,1840,0.0020137005882039146,2.901220054476708e-14,0.02901220054476708,2.901220054476708e-14,0.02901220054476708,0.0027250317558836883,2.901220054476708e-14,0.02901220054476708,2.901220054476708e-14,0.02901220054476708,H1+H2,periphery,8.021450046220233,412,412,412,2060,220,ordinary_least_squares,False,16,constant_average_sigma,3.875,4.375
0.001,0.01333521432163324,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.001987948867778428,1.169381686928487e-06,2.6531816503408406e-14,2.9007545653636055e-14,0.029007545653636054,2.9007545653636055e-14,0.029007545653636054,1700,0.001517164755499682,2.9007545653636055e-14,0.029007545653636054,2.9007545653636055e-14,0.029007545653636054,0.001756589425649086,2.9007545653636055e-14,0.029007545653636054,2.9007545653636055e-14,0.029007545653636054,H1+H2,periphery,3.2943962068098154,369,369,369,1845,145,ordinary_least_squares,False,17,constant_average_sigma,4.125,5.0
0.001,0.01333521432163324,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.002842873551867728,1.702319492136364e-06,1.5001735964375198e-14,2.900684244940873e-14,0.029006842449408734,2.900684244940873e-14,0.029006842449408734,1670,0.001998841942285403,2.900684244940873e-14,0.029006842449408734,2.900684244940873e-14,0.029006842449408734,0.0019586317853704785,2.900684244940873e-14,0.029006842449408734,2.900684244940873e-14,0.029006842449408734,H1+H2,periphery,3.1783413463141406,363,363,363,1815,145,ordinary_least_squares,False,18,constant_average_sigma,4.125,5.0
0.001,0.0031622776601683794,0.005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,0.019671981599079753,1.221862211122966e-05,1.0470782831089399e-13,2.9047559465193e-14,0.029047559465193003,2.9047559465193e-14,0.029047559465193003,1610,0.004953593392619527,2.9047559465193e-14,0.029047559465193003,2.9047559465193e-14,0.029047559465193003,0.005431925808824482,2.9047559465193e-14,0.029047559465193003,2.9047559465193e-14,0.029047559465193003,H1+H2,interior,59.104027277955915,364,364,364,1820,210,ordinary_least_squares,False,19,constant_average_sigma,3.5,3.75
0.001,0.001333521432163324,0.0017782794100389228,0.0005623413251903491,1e-06,mosaic_flow_free_boundary,0.18017993168389873,0.00015269485735923622,3.291487696896768e-13,2.9602584631146743e-14,0.029602584631146744,2.9602584631146743e-14,0.029602584631146744,1180,0.018407872379603216,2.9602584631146743e-14,0.029602584631146744,2.9602584631146743e-14,0.029602584631146744,0.01867779155499614,2.9602584631146743e-14,0.029602584631146744,2.9602584631146743e-14,0.029602584631146744,H1+H2,interior,591.1027861575484,262,262,262,1310,130,ordinary_least_squares,False,20,constant_average_sigma,0.37499999999999994,3.25
1e-06,0.00023713737056616554,0.0005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,3048.278669775503,2.7095810398004474,2.9886087732064377,3.026486318634564e-14,0.030264863186345643,3.026486318634564e-14,0.030264863186345643,1125,1.474358183190353,3.026486318634564e-14,0.030264863186345643,3.026486318634564e-14,0.030264863186345643,0.6752244218125986,3.026486318634564e-14,0.030264863186345643,3.026486318634564e-14,0.030264863186345643,H1+H2,interior,1209.464978700396,263,263,263,1315,190,ordinary_least_squares,False,21,constant_average_sigma,2.375,2.75
0.001,0.0017782794100389228,0.0023713737056616554,3.1622776601683795e-05,1e-06,mosaic_flow_free_boundary,0.11861954019529125,7.413721262205703e-05,6.276286021745851e-14,2.9125607532745436e-14,0.029125607532745436,2.9125607532745436e-14,0.029125607532745436,1600,0.011614540796294075,2.9125607532745436e-14,0.029125607532745436,2.9125607532745436e-14,0.029125607532745436,0.01411531055050194,2.9125607532745436e-14,0.029125607532745436,2.9125607532745436e-14,0.029125607532745436,H1+H2,interior,215.71482790184123,355,355,355,1775,175,ordinary_least_squares,False,22,constant_average_sigma,1.75,3.375
0.001,0.0031622776601683794,0.005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,0.01741369415294615,1.1609129435297433e-05,2.955097732983092e-14,2.902549827807231e-14,0.02902549827807231,2.902549827807231e-14,0.02902549827807231,1500,0.005583572563203026,2.902549827807231e-14,0.02902549827807231,2.902549827807231e-14,0.02902549827807231,0.004409639595752626,2.902549827807231e-14,0.02902549827807231,2.902549827807231e-14,0.02902549827807231,H1+H2,interior,39.94431060177862,344,344,344,1720,220,ordinary_least_squares,False,23,constant_average_sigma,3.5,3.75
0.001,0.004216965034285823,0.007498942093324558,1e-06,1e-06,mosaic_flow_free_boundary,0.015112455423023842,1.0176737658601913e-05,5.726099184907648e-14,2.9035616764369963e-14,0.029035616764369963,2.9035616764369963e-14,0.029035616764369963,1485,0.005692891832444127,2.9035616764369963e-14,0.029035616764369963,2.9035616764369963e-14,0.029035616764369963,0.0037157021669313294,2.9035616764369963e-14,0.029035616764369963,2.9035616764369963e-14,0.029035616764369963,H1+H2,periphery,26.074615042887462,327,327,327,1635,150,ordinary_least_squares,False,24,constant_average_sigma,3.625,3.875
0.001,0.007498942093324558,0.023713737056616554,1e-06,1e-06,mosaic_flow_free_boundary,0.003843216340973191,3.099368016913864e-06,5.5362875402466405e-14,2.9045392018933946e-14,0.029045392018933944,2.9045392018933946e-14,0.029045392018933944,1240,0.0030086274633202913,2.9045392018933946e-14,0.029045392018933944,2.9045392018933946e-14,0.029045392018933944,0.0021846464242729737,2.9045392018933946e-14,0.029045392018933944,2.9045392018933946e-14,0.029045392018933944,H1+H2,periphery,10.156108547729652,278,278,278,1390,150,ordinary_least_squares,False,25,constant_average_sigma,3.875,4.375
