D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dof,h1_resid_rms,h2_resid_rms,harmonics,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,profile_flat,tile_id,width_decades_dchi1,width_decades_dchi384
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1h2_fixed_boundary_phase,16966559.13380562,24168.887654993763,1.1297389730125318,702,344.447881572519,1.1599877775705116,H1+H2,1207151.3083290644,173,143,144,747,45,False,8,0.0,0.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1h2_fixed_boundary_complex,16966559.133805625,23178.359472412056,1.1297389730125318,732,344.44788157251907,1.1599877775705119,H1+H2,1577679.5842354335,173,143,144,747,15,False,8,0.0,0.0
0.01,0.01,0.01,0.01,0.01,h1h2_single_global_ac_pressure,17302083.4167115,23766.598099878436,1.1297389730125318,728,347.83670728156056,1.2788232685419236,H1+H2,504665.45256691054,173,143,144,747,19,False,8,0.0,0.0
1e-06,0.1,0.1,1e-06,1e-06,dc_only,105.85137573153087,0.41673769973043645,0.6132588870866474,254,nan,nan,DC,0.0,281,0,0,281,27,True,10,5.0,5.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1_free_boundary,264844.9472343515,428.5516945539668,0.6132588870866474,618,35.590648189629675,nan,H1,25672.70608430938,281,209,0,699,81,False,10,0.0,0.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1_fixed_boundary_phase,264844.94723435154,410.6123212935683,0.6132588870866474,645,35.59064818962968,nan,H1,43733.329813600925,281,209,0,699,54,False,10,0.0,0.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1_fixed_boundary_complex,264844.9472343515,394.114504813023,0.6132588870866474,672,35.590648189629675,nan,H1,76843.23056904227,281,209,0,699,27,False,10,0.0,0.0
0.01,0.01,0.01,0.01,0.01,h1_single_global_ac_pressure,314004.34037040407,468.66319458269265,0.6132588870866474,670,38.75444033794739,nan,H1,319.082502564881,281,209,0,699,29,False,10,0.0,0.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1h2_free_boundary,264860.89943532203,242.9916508580936,0.6132588870866474,1090,35.590648189629675,0.24628186401373833,H1+H2,25672.898993901676,281,209,263,1225,135,False,10,0.0,0.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1h2_fixed_boundary_phase,264860.8994353221,231.52176524066616,0.6132588870866474,1144,35.59064818962968,0.24628186401373833,H1+H2,43736.28944403079,281,209,263,1225,81,False,10,0.0,0.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1h2_fixed_boundary_complex,264860.89943532203,221.0858926839082,0.6132588870866474,1198,35.590648189629675,0.24628186401373833,H1+H2,76854.13698751444,281,209,263,1225,27,False,10,0.0,0.0
0.01,0.01,0.01,0.01,0.01,h1h2_single_global_ac_pressure,314025.44651682704,263.0028865300059,0.6132588870866474,1194,38.75444033794739,0.28328696989408747,H1+H2,320.1933890985092,281,209,263,1225,31,False,10,0.0,0.0
1e-06,0.1,0.1,1e-06,1e-06,dc_only,152.78792385018505,0.5127111538596814,0.6695923736093461,298,nan,nan,DC,0.0,338,0,0,338,40,True,12,5.0,5.0
0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,h1_free_boundary,6293.831456512942,7.926739869663655,0.6695923736093461,794,4.617690745572475,nan,H1,422.6808084556469,338,288,0,914,120,False,12,0.0,0.0
0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,h1_fixed_boundary_phase,6293.831456512942,7.546560499415998,0.6695923736093461,834,4.617690745572475,nan,H1,1482.870938702974,338,288,0,914,80,False,12,0.0,0.0
0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,h1_fixed_boundary_complex,6293.831456512942,7.201180156193297,0.6695923736093461,874,4.617690745572475,nan,H1,9248.437438289782,338,288,0,914,40,False,12,0.0,0.0
0.014677992676220676,0.014677992676220676,0.021544346900318822,0.01,0.006812920690579608,h1_single_global_ac_pressure,9029.55211787972,10.35499096087124,0.6695923736093461,872,5.551765295465568,nan,H1,53.48670473025959,338,288,0,914,42,False,12,0.16666666666666605,0.49999999999999994
0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,h1h2_free_boundary,6347.494968900133,4.674149461634855,0.6695923736093461,1358,4.617690745572475,0.4082362928105177,H1+H2,426.7352331228558,338,288,322,1558,200,False,12,0.0,0.0
0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,h1h2_fixed_boundary_phase,6347.494968900133,4.414113330250441,0.6695923736093461,1438,4.617690745572475,0.4082362928105177,H1+H2,1490.8726195450417,338,288,322,1558,120,False,12,0.0,0.0
0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,h1h2_fixed_boundary_complex,6347.494968900133,4.181485486758981,0.6695923736093461,1518,4.617690745572475,0.4082362928105177,H1+H2,9288.744406086635,338,288,322,1558,40,False,12,0.0,0.0
0.014677992676220676,0.014677992676220676,0.021544346900318822,0.01,0.006812920690579608,h1h2_single_global_ac_pressure,9123.936470127075,6.0263781176532865,0.6695923736093461,1514,5.551765295465568,0.5414047528035248,H1+H2,53.686775183337886,338,288,322,1558,44,False,12,0.16666666666666605,0.49999999999999994
1e-06,0.1,0.1,1e-06,1e-06,dc_only,123.19822149354539,0.4277716024081437,0.6098991466358638,288,nan,nan,DC,0.0,331,0,0,331,43,True,15,5.0,5.0
0.1,0.1,0.1,0.1,0.1,h1_free_boundary,59423.96356633159,90.86232961212782,0.6098991466358638,654,16.19854212614696,nan,H1,12693.096671807412,331,226,0,783,129,False,15,0.0,0.0
0.1,0.1,0.1,0.1,0.1,h1_fixed_boundary_phase,59423.96356633159,85.25676264896929,0.6098991466358638,697,16.19854212614696,nan,H1,17265.93928030853,331,226,0,783,86,False,15,0.0,0.0
0.1,0.1,0.1,0.1,0.1,h1_fixed_boundary_complex,59423.96356633159,80.30265346801566,0.6098991466358638,740,16.19854212614696,nan,H1,20276.928564951544,331,226,0,783,43,False,15,0.0,0.0
0.06812920690579609,0.06812920690579609,0.06812920690579609,0.06812920690579609,0.06812920690579609,h1_single_global_ac_pressure,93174.40913149685,126.25258689904723,0.6098991466358638,738,20.29115624417885,nan,H1,260.15125056606485,331,226,0,783,45,False,15,0.0,0.0
0.1,0.1,0.1,0.1,0.1,h1h2_free_boundary,59446.144655927,48.64659955476841,0.6098991466358638,1222,16.19854212614696,0.26044592197498445,H1+H2,12694.10284979995,331,226,327,1437,215,False,15,0.0,0.0
0.1,0.1,0.1,0.1,0.1,h1h2_fixed_boundary_phase,59446.144655927,45.44812282563226,0.6098991466358638,1308,16.19854212614696,0.2604459219749845,H1+H2,17270.318687103776,331,226,327,1437,129,False,15,0.0,0.0
0.1,0.1,0.1,0.1,0.1,h1h2_fixed_boundary_complex,59446.144655927,42.6442931534627,0.6098991466358638,1394,16.19854212614696,0.26044592197498445,H1+H2,20283.073761449996,331,226,327,1437,43,False,15,0.0,0.0
0.06812920690579609,0.06812920690579609,0.06812920690579609,0.06812920690579609,0.06812920690579609,h1h2_single_global_ac_pressure,93209.70155243512,67.0573392463562,0.6098991466358638,1390,20.29115624417885,0.32852380853992236,H1+H2,261.2141994898702,331,226,327,1437,47,False,15,0.0,0.0
1e-06,0.1,0.1,1e-06,1e-06,dc_only,238.82717535195172,0.8653158527244628,0.8700053735839636,276,nan,nan,DC,0.0,311,0,0,311,35,True,22,5.0,5.0
0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,h1_free_boundary,2330.9185152726573,3.4893989749590677,0.8700053735839636,668,3.0094305885315253,nan,H1,1125.1087314911115,311,231,0,773,105,False,22,0.0,0.0
0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,h1_fixed_boundary_phase,2330.918515272657,3.31567356368799,0.8700053735839636,703,3.009430588531525,nan,H1,1483.25319273991,311,231,0,773,70,False,22,0.0,0.0
0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,h1_fixed_boundary_complex,2330.9185152726573,3.158426172456175,0.8700053735839636,738,3.0094305885315253,nan,H1,8995.507260607581,311,231,0,773,35,False,22,0.0,0.0
