model_family,model_key,representative_label,constraint_left,constraint_right,pressure_pearson_aligned,pressure_spearman_aligned,pressure_rmse_aligned_pa,pressure_mae_aligned_pa
gnn,q_10__k_100__delta_10,K1,equal_drop,gauge_only,0.9956609012563759,0.9874968644198113,0.4822565870400739,0.39046941622812664
gnn,q_10__k_100__delta_10,K1,fixed_drop_10pa,gauge_only,0.8391871322848327,0.8133027269716421,1.6571182647754155,1.503412961834927
gnn,q_1__k_1__delta_1,B1,equal_av,equal_drop,0.9221262782271704,0.907400556356789,1.1058046679935547,0.8331876673044326
gnn,q_1__k_1__delta_1,B1,equal_av,fixed_drop_10pa,0.8955220795606096,0.9159266944073396,1.3851706005888393,1.0550931631519822
gnn,q_1__k_1__delta_1,B1,equal_av,gauge_only,0.9054977577346534,0.88226889019274,1.3154569259414242,0.9372699417293825
gnn,q_1__k_1__delta_1,B1,equal_drop,fixed_drop_10pa,0.8611713179023445,0.8506131719009299,1.5632496998839334,1.3992804782541108
gnn,q_1__k_1__delta_1,B1,equal_drop,gauge_only,0.9942219265955043,0.9894257308176584,0.3862707041839133,0.3242405954488599
gnn,q_1__k_1__delta_1,B1,fixed_drop_10pa,gauge_only,0.8045531685690078,0.7906265180604118,1.8644593533132994,1.6805189213652798
poiseuille_baseline,0.1|0.1,,equal_av,equal_drop,0.9088953925324694,0.857525100350387,2.4763384710909735,2.2428950264961567
poiseuille_baseline,0.1|0.1,,equal_av,fixed_drop_10pa,0.8569794872259453,0.8703497495059309,1.914375842708466,1.3639552273102042
poiseuille_baseline,0.1|0.1,,equal_av,gauge_only,0.899610536945755,0.8270717336814729,2.8115300744045832,2.554856962157731
poiseuille_baseline,0.1|0.1,,equal_drop,fixed_drop_10pa,0.8519050070035559,0.7766360694483109,3.7116638532456205,3.4067242099831923
poiseuille_baseline,0.1|0.1,,equal_drop,gauge_only,0.9973890894550272,0.9933102819657619,0.3899159935789981,0.33974326467731963
poiseuille_baseline,0.1|0.1,,fixed_drop_10pa,gauge_only,0.812679778142224,0.7134711055809742,4.09814142503208,3.7464674746605118
poiseuille_baseline,1.0|1.0,,equal_av,equal_drop,0.9112448442628402,0.8603033581295468,2.45112730904943,2.2200977032784777
poiseuille_baseline,1.0|1.0,,equal_av,fixed_drop_10pa,0.8584975283755424,0.8715020474890725,1.909741847764725,1.3653956545338228
poiseuille_baseline,1.0|1.0,,equal_av,gauge_only,0.9020321138512205,0.8300769307592285,2.785952693558741,2.5317092401897936
poiseuille_baseline,1.0|1.0,,equal_drop,fixed_drop_10pa,0.8525311491563333,0.7782377848782093,3.6941569593220693,3.389851293521232
poiseuille_baseline,1.0|1.0,,equal_drop,gauge_only,0.9973969294141611,0.9933291774805598,0.3893382574141927,0.33923986841765474
poiseuille_baseline,1.0|1.0,,fixed_drop_10pa,gauge_only,0.8134278385844,0.7153554998349727,4.080106195128599,3.729091161938887
poiseuille_baseline,10.0|100.0,,equal_av,equal_drop,0.9180210348057051,0.8774946470639953,2.395303108218326,2.1584184368253743
poiseuille_baseline,10.0|100.0,,equal_av,fixed_drop_10pa,0.836966792088897,0.8503483259085177,2.247889868563234,1.6775165394686113
poiseuille_baseline,10.0|100.0,,equal_av,gauge_only,0.9105258474126648,0.8559860216420527,2.7364469933986966,2.473047975756586
poiseuille_baseline,10.0|100.0,,equal_drop,fixed_drop_10pa,0.8352341128995233,0.758794186812739,3.995163902802062,3.6630663678549045
poiseuille_baseline,10.0|100.0,,equal_drop,gauge_only,0.9975074484020185,0.995421367743669,0.40129111594659794,0.3516196343777909
poiseuille_baseline,10.0|100.0,,fixed_drop_10pa,gauge_only,0.7950228059690085,0.7055196900160257,4.393725869981096,4.014686002232695
poiseuille_baseline,100.0|0.1,,equal_av,equal_drop,0.9789507533620991,0.9893381934911242,1.1877531439020863,1.0964157039741855
poiseuille_baseline,100.0|0.1,,equal_av,fixed_drop_10pa,0.9581213169622858,0.960125448222124,1.083139058995083,0.8126839425127838
poiseuille_baseline,100.0|0.1,,equal_av,gauge_only,0.970023846007609,0.9820305516050044,1.550035278880013,1.4264174256117093
