D,chi2,delta_chi2,objective,observation_source,tile_id,weight_mode
0.05623413251903491,7289.857862443275,812.8167600338902,weighted_least_squares,measured_graph,1,sigma
0.07498942093324558,7298.02903986118,820.987937451795,weighted_least_squares,measured_graph,1,sigma
0.1,7312.803425371468,835.7623229620831,weighted_least_squares,measured_graph,1,sigma
1e-06,2427.1801510194523,0.0,weighted_least_squares,measured_graph,2,sigma
1.333521432163324e-06,2427.2455854402074,0.0654344207550821,weighted_least_squares,measured_graph,2,sigma
1.778279410038923e-06,2427.332848896815,0.1526978773626979,weighted_least_squares,measured_graph,2,sigma
2.3713737056616552e-06,2427.4492258569576,0.26907483750528627,weighted_least_squares,measured_graph,2,sigma
3.162277660168379e-06,2427.6044333607415,0.4242823412891994,weighted_least_squares,measured_graph,2,sigma
4.216965034285822e-06,2427.811434965029,0.6312839455767971,weighted_least_squares,measured_graph,2,sigma
5.623413251903491e-06,2428.08752776368,0.907376744227804,weighted_least_squares,measured_graph,2,sigma
7.498942093324558e-06,2428.4557951507054,1.2756441312531024,weighted_least_squares,measured_graph,2,sigma
1e-05,2428.947050282717,1.7668992632648042,weighted_least_squares,measured_graph,2,sigma
1.333521432163324e-05,2429.6024378240836,2.4222868046313124,weighted_least_squares,measured_graph,2,sigma
1.778279410038923e-05,2430.4769214854728,3.2967704660204618,weighted_least_squares,measured_graph,2,sigma
2.3713737056616554e-05,2431.643965932633,4.463814913180613,weighted_least_squares,measured_graph,2,sigma
3.1622776601683795e-05,2433.20183475797,6.021683738517822,weighted_least_squares,measured_graph,2,sigma
4.216965034285822e-05,2435.2820816226404,8.101930603188066,weighted_least_squares,measured_graph,2,sigma
5.623413251903491e-05,2438.061030019142,10.880878999689685,weighted_least_squares,measured_graph,2,sigma
7.498942093324559e-05,2441.7753395983746,14.595188578922262,weighted_least_squares,measured_graph,2,sigma
0.0001,2446.7431738151276,19.56302279567535,weighted_least_squares,measured_graph,2,sigma
0.0001333521432163324,2453.393038941819,26.212887922366917,weighted_least_squares,measured_graph,2,sigma
0.00017782794100389227,2462.303049829242,35.1228988097896,weighted_least_squares,measured_graph,2,sigma
0.00023713737056616554,2474.254063741738,47.07391272228551,weighted_least_squares,measured_graph,2,sigma
0.00031622776601683794,2490.3003289021385,63.12017788268622,weighted_least_squares,measured_graph,2,sigma
0.00042169650342858224,2511.8596182787733,84.67946725932097,weighted_least_squares,measured_graph,2,sigma
0.0005623413251903491,2540.8176546673744,113.63750364792213,weighted_least_squares,measured_graph,2,sigma
0.0007498942093324559,2579.6206551277724,152.44050410832006,weighted_least_squares,measured_graph,2,sigma
0.001,2631.2786579249805,204.0985069055282,weighted_least_squares,measured_graph,2,sigma
0.001333521432163324,2699.098794939442,271.9186439199898,weighted_least_squares,measured_graph,2,sigma
0.0017782794100389228,2785.819499775307,358.6393487558548,weighted_least_squares,measured_graph,2,sigma
0.0023713737056616554,2891.792647152695,464.61249613324253,weighted_least_squares,measured_graph,2,sigma
0.0031622776601683794,3012.481736260818,585.3015852413655,weighted_least_squares,measured_graph,2,sigma
0.004216965034285823,3137.223212018284,710.0430609988316,weighted_least_squares,measured_graph,2,sigma
0.005623413251903491,3252.1308324329357,824.9506814134834,weighted_least_squares,measured_graph,2,sigma
0.007498942093324558,3346.6636202023424,919.4834691828901,weighted_least_squares,measured_graph,2,sigma
0.01,3419.040530717699,991.8603796982466,weighted_least_squares,measured_graph,2,sigma
0.01333521432163324,3477.18895125805,1050.0088002385978,weighted_least_squares,measured_graph,2,sigma
0.01778279410038923,3534.525937993733,1107.3457869742806,weighted_least_squares,measured_graph,2,sigma
0.023713737056616554,3602.329748007546,1175.149596988094,weighted_least_squares,measured_graph,2,sigma
0.03162277660168379,3684.221584366811,1257.0414333473586,weighted_least_squares,measured_graph,2,sigma
0.042169650342858224,3775.5696847698737,1348.3895337504214,weighted_least_squares,measured_graph,2,sigma
0.05623413251903491,3866.5048940004117,1439.3247429809594,weighted_least_squares,measured_graph,2,sigma
0.07498942093324558,3947.5192116661055,1520.3390606466533,weighted_least_squares,measured_graph,2,sigma
0.1,4014.4220471197414,1587.241896100289,weighted_least_squares,measured_graph,2,sigma
1e-06,1349.521876196863,7.757152557616109,weighted_least_squares,measured_graph,3,sigma
1.333521432163324e-06,1349.517209511139,7.752485871892077,weighted_least_squares,measured_graph,3,sigma
1.778279410038923e-06,1349.5109885320874,7.746264892840372,weighted_least_squares,measured_graph,3,sigma
2.3713737056616552e-06,1349.5026965220447,7.737972882797749,weighted_least_squares,measured_graph,3,sigma
3.162277660168379e-06,1349.4916457513116,7.726922112064585,weighted_least_squares,measured_graph,3,sigma
