D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,observation_source,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.1,0.1,0.1,0.1,0.01333521432163324,measured_flow_free_boundary,637.9396402756465,0.5825932787905448,1.365605282501137,3.171616989681762e-14,0.03171616989681762,3.171616989681762e-14,0.03171616989681762,1095,0.7480915175750604,3.171616989681762e-14,0.03171616989681762,3.171616989681762e-14,0.03171616989681762,0.10740033494807644,3.171616989681762e-14,0.03171616989681762,3.171616989681762e-14,0.03171616989681762,H1+H2,periphery,26.156603119612555,274,216,267,1240,145,ordinary_least_squares,measured_graph,False,31,constant_average_sigma,0.0,0.875
0.004216965034285823,0.007498942093324558,0.01333521432163324,0.0017782794100389228,1e-06,measured_flow_free_boundary,354.7681557413994,0.34849524139626664,0.8752360882790998,3.1189133296724604e-14,0.031189133296724604,3.1189133296724604e-14,0.031189133296724604,1018,0.9049753048341604,3.1189133296724604e-14,0.031189133296724604,3.1189133296724604e-14,0.031189133296724604,0.08689194131972904,3.1189133296724604e-14,0.031189133296724604,3.1189133296724604e-14,0.031189133296724604,H1+H2,periphery,17.447140608673692,249,198,244,1133,115,ordinary_least_squares,measured_graph,False,32,constant_average_sigma,0.625,4.125
0.1,0.1,0.1,0.1,0.1,measured_flow_free_boundary,1855.7168697741574,1.4058461134652709,0.8620076792221936,3.1002211397283687e-14,0.031002211397283687,3.1002211397283687e-14,0.031002211397283687,1320,2.47191834975391,3.1002211397283687e-14,0.031002211397283687,3.1002211397283687e-14,0.031002211397283687,0.1504010539995167,3.1002211397283687e-14,0.031002211397283687,3.1002211397283687e-14,0.031002211397283687,H1+H2,interior,440.02215903409,333,262,324,1505,185,ordinary_least_squares,measured_graph,False,33,constant_average_sigma,0.0,0.0
0.007498942093324558,0.007498942093324558,0.01,0.007498942093324558,0.005623413251903491,measured_flow_free_boundary,3273.33510265936,5.762913913132676,1.8150008403530633,3.180779213616103e-14,0.031807792136161035,3.180779213616103e-14,0.031807792136161035,568,4.848056334638167,3.180779213616103e-14,0.031807792136161035,3.180779213616103e-14,0.031807792136161035,0.18635908906289175,3.180779213616103e-14,0.031807792136161035,3.180779213616103e-14,0.031807792136161035,H1+H2,interior,124.35960205872743,156,117,149,688,120,ordinary_least_squares,measured_graph,False,34,constant_average_sigma,0.0,0.25
1e-06,5.623413251903491e-05,0.00017782794100389227,1e-06,1e-06,measured_flow_free_boundary,10800.709234917533,9.490957148433685,4.397979313643153,3.9180349714913813e-14,0.03918034971491381,3.9180349714913813e-14,0.03918034971491381,1138,4.6741628349951005,3.9180349714913813e-14,0.03918034971491381,3.9180349714913813e-14,0.03918034971491381,0.9570790006150037,3.9180349714913813e-14,0.03918034971491381,3.9180349714913813e-14,0.03918034971491381,H1+H2,interior,677.9874326174358,288,227,273,1288,150,ordinary_least_squares,measured_graph,False,35,constant_average_sigma,1.75,2.25
0.007498942093324558,0.007498942093324558,0.01,0.007498942093324558,0.005623413251903491,measured_flow_free_boundary,2495.774631191099,2.279246238530684,2.5420050081154852,3.478302066689641e-14,0.03478302066689641,3.478302066689641e-14,0.03478302066689641,1095,1.648004668369258,3.478302066689641e-14,0.03478302066689641,3.478302066689641e-14,0.03478302066689641,0.5199058055634889,3.478302066689641e-14,0.03478302066689641,3.478302066689641e-14,0.03478302066689641,H1+H2,interior,294.2134229448825,275,237,268,1285,190,ordinary_least_squares,measured_graph,False,36,constant_average_sigma,0.0,0.25
0.0023713737056616554,0.004216965034285823,0.007498942093324558,7.498942093324559e-05,1e-06,measured_flow_free_boundary,1556.991404859666,1.5807019338676813,2.4196197614921564,3.5074934417428914e-14,0.03507493441742891,3.5074934417428914e-14,0.03507493441742891,985,0.8224447613580764,3.5074934417428914e-14,0.03507493441742891,3.5074934417428914e-14,0.03507493441742891,0.26221694900688247,3.5074934417428914e-14,0.03507493441742891,3.5074934417428914e-14,0.03507493441742891,H1+H2,periphery,114.57158746290929,240,200,235,1110,125,ordinary_least_squares,measured_graph,False,37,constant_average_sigma,1.75,3.875
0.001,0.0031622776601683794,0.007498942093324558,1e-06,1e-06,measured_flow_free_boundary,922.9402263275203,1.165328568595354,1.991489789829344,3.399766749961782e-14,0.03399766749961782,3.399766749961782e-14,0.03399766749961782,792,0.805408838000663,3.399766749961782e-14,0.03399766749961782,3.399766749961782e-14,0.03399766749961782,0.22429031239282404,3.399766749961782e-14,0.03399766749961782,3.399766749961782e-14,0.03399766749961782,H1+H2,periphery,70.58687350983246,203,162,200,927,135,ordinary_least_squares,measured_graph,False,38,constant_average_sigma,3.5,3.875
1e-06,0.0005623413251903491,0.0017782794100389228,1e-06,1e-06,measured_flow_free_boundary,461.8322058382013,0.48410084469413134,1.1842535550237492,3.086341204447339e-14,0.03086341204447339,3.086341204447339e-14,0.03086341204447339,954,0.7305132686790159,3.086341204447339e-14,0.03086341204447339,3.086341204447339e-14,0.03086341204447339,0.2617562919115112,3.086341204447339e-14,0.03086341204447339,3.086341204447339e-14,0.03086341204447339,H1+H2,interior,116.38090060372019,238,210,233,1124,170,ordinary_least_squares,measured_graph,False,39,constant_average_sigma,2.75,3.25
1e-06,0.00042169650342858224,0.001333521432163324,1e-06,1e-06,measured_flow_free_boundary,8067.5402448155355,9.105575897082998,4.482451988906208,3.14569855647517e-14,0.0314569855647517,3.14569855647517e-14,0.0314569855647517,886,4.321217068032324,3.14569855647517e-14,0.0314569855647517,3.14569855647517e-14,0.0314569855647517,0.17162320020558283,3.14569855647517e-14,0.0314569855647517,3.14569855647517e-14,0.0314569855647517,H1+H2,interior,142.6559808446791,228,183,221,1036,150,ordinary_least_squares,measured_graph,False,40,constant_average_sigma,2.625,3.125
0.1,0.1,0.1,0.1,0.1,measured_flow_free_boundary,21791.28114357539,32.379318192534015,7.9890072887130295,3.3735753340058194e-14,0.03373575334005819,3.3735753340058194e-14,0.03373575334005819,673,8.339983782940186,3.3735753340058194e-14,0.03373575334005819,3.3735753340058194e-14,0.03373575334005819,0.10065858273690823,3.3735753340058194e-14,0.03373575334005819,3.3735753340058194e-14,0.03373575334005819,H1+H2,interior,277.49768570802917,183,145,175,823,150,ordinary_least_squares,measured_graph,False,41,constant_average_sigma,0.0,0.0
0.03162277660168379,0.03162277660168379,0.03162277660168379,0.03162277660168379,0.03162277660168379,measured_flow_free_boundary,126917.39209120492,131.65704573776443,8.816888971053137,3.2285104978024984e-14,0.03228510497802498,3.2285104978024984e-14,0.03228510497802498,964,23.290560115178614,3.2285104978024984e-14,0.03228510497802498,3.2285104978024984e-14,0.03228510497802498,0.08636285800882876,3.2285104978024984e-14,0.03228510497802498,3.2285104978024984e-14,0.03228510497802498,H1+H2,interior,565.6113588187727,244,199,236,1114,150,ordinary_least_squares,measured_graph,False,42,constant_average_sigma,0.0,0.0
1e-06,7.498942093324559e-05,0.00023713737056616554,1e-06,1e-06,measured_flow_free_boundary,11325.233707759398,16.437204220260377,0.8578319661051514,3.069740362917994e-14,0.03069740362917994,3.069740362917994e-14,0.03069740362917994,689,9.040980783146155,3.069740362917994e-14,0.03069740362917994,3.069740362917994e-14,0.03069740362917994,0.08046627203600526,3.069740362917994e-14,0.03069740362917994,3.069740362917994e-14,0.03069740362917994,H1+H2,periphery,627.7292273304338,171,137,167,779,90,ordinary_least_squares,measured_graph,False,43,constant_average_sigma,1.875,2.375
0.1,0.1,0.1,0.1,0.1,measured_flow_free_boundary,3953855.265034809,5874.970676128988,15.0355644318454,3.7995584262344374e-14,0.037995584262344374,3.7995584262344374e-14,0.037995584262344374,673,164.3026527017707,3.7995584262344374e-14,0.037995584262344374,3.7995584262344374e-14,0.037995584262344374,0.10331071627028945,3.7995584262344374e-14,0.037995584262344374,3.7995584262344374e-14,0.037995584262344374,H1+H2,periphery,10169.950126774609,173,145,160,783,110,ordinary_least_squares,measured_graph,False,44,constant_average_sigma,0.0,0.0
0.01333521432163324,0.01333521432163324,0.01333521432163324,0.01333521432163324,0.01333521432163324,measured_flow_free_boundary,3464017.6313310736,3696.923832797304,28.82808875255354,4.1727476261567706e-14,0.041727476261567704,4.1727476261567706e-14,0.041727476261567704,937,124.69676346496622,4.1727476261567706e-14,0.041727476261567704,4.1727476261567706e-14,0.041727476261567704,0.09206599955701036,4.1727476261567706e-14,0.041727476261567704,4.1727476261567706e-14,0.041727476261567704,H1+H2,interior,3816.0411236528307,238,210,212,1082,145,ordinary_least_squares,measured_graph,False,45,constant_average_sigma,0.0,0.0
