ablation,D,chi2,delta_chi2
mosaic_flow_free_boundary,1e-06,0.5437292506437147,0.4793781314866159
mosaic_flow_free_boundary,1.3058823191183775e-06,0.5434752349762006,0.47912411581910186
mosaic_flow_free_boundary,1.7053286313859887e-06,0.5431436185384718,0.478792499381373
mosaic_flow_free_boundary,2.2269585080133038e-06,0.5427107359690909,0.4783596168119921
mosaic_flow_free_boundary,2.908145741024809e-06,0.5421457308412014,0.47779461168410264
mosaic_flow_free_boundary,3.7976961046237105e-06,0.5414083929329119,0.4770572737758131
mosaic_flow_free_boundary,4.959344196412829e-06,0.5404463548704572,0.47609523571335843
mosaic_flow_free_boundary,6.476319900517853e-06,0.5391914776769697,0.47484035851987094
mosaic_flow_free_boundary,8.457311651040738e-06,0.5375551958137085,0.4732040766566097
mosaic_flow_free_boundary,1.1044253752367952e-05,0.5354225661322414,0.4710714469751426
mosaic_flow_free_boundary,1.4422495703074076e-05,0.5326447005126146,0.4682935813555158
mosaic_flow_free_boundary,1.883408213620521e-05,0.5290292408229915,0.46467812166589273
mosaic_flow_free_boundary,2.4595094858493616e-05,0.52432852347754,0.4599774043204412
mosaic_flow_free_boundary,3.211829951274613e-05,0.5182251581529617,0.45387403899586287
mosaic_flow_free_boundary,4.194271945384357e-05,0.5103149560839919,0.4459638369268931
mosaic_flow_free_boundary,5.477225575051662e-05,0.5000876453236495,0.4357365261665507
mosaic_flow_free_boundary,7.15261203628294e-05,0.4869068235074079,0.4225557043503091
mosaic_flow_free_boundary,9.340469593695185e-05,0.4699925505293472,0.4056414313722484
mosaic_flow_free_boundary,0.00012197554094669347,0.44841360399215513,0.38406248483505634
mosaic_flow_free_boundary,0.00015928570228718652,0.42110297562287297,0.3567518564657742
mosaic_flow_free_boundary,0.00020800838230519039,0.3869218761641899,0.3225707570070911
mosaic_flow_free_boundary,0.00027163446868076383,0.3448181034555842,0.28046698429848543
mosaic_flow_free_boundary,0.0003547226499133238,0.2941605210014884,0.22980940184438958
mosaic_flow_free_boundary,0.0004632260367126272,0.23539331402534644,0.17104219486824768
mosaic_flow_free_boundary,0.0006049186910983003,0.17125906606702618,0.1069079469099274
mosaic_flow_free_boundary,0.0007899526232095012,0.10901529230202273,0.04466417314492395
mosaic_flow_free_boundary,0.0010315851635904682,0.06435111915709878,0.0
mosaic_flow_free_boundary,0.00134712882579763,0.06813311787959121,0.0037819987224924356
mosaic_flow_free_boundary,0.0017591917151838243,0.17765124787632344,0.11330012871922467
mosaic_flow_free_boundary,0.0022972973567980865,0.49446229339630154,0.43011117423920275
mosaic_flow_free_boundary,0.003000000000000001,1.1903995861758907,1.126048467018792
mosaic_flow_fixed_mosaic_pressure,1e-06,5.098258704821455,4.947966476623649
mosaic_flow_fixed_mosaic_pressure,1.3058823191183775e-06,5.095897242613725,4.945605014415919
mosaic_flow_fixed_mosaic_pressure,1.7053286313859887e-06,5.0928142973108015,4.942522069112996
mosaic_flow_fixed_mosaic_pressure,2.2269585080133038e-06,5.088789777015584,4.938497548817778
mosaic_flow_fixed_mosaic_pressure,2.908145741024809e-06,5.083536688701693,4.933244460503887
mosaic_flow_fixed_mosaic_pressure,3.7976961046237105e-06,5.076680971360588,4.926388743162782
