parent_step2_run_name,representative_label,constraint_left,constraint_right,delta_pearson,delta_spearman,delta_rmse,delta_mae,conductance_ratio_pearson,hotspot_jaccard_top5,hotspot_jaccard_top10
q_0p1__k_10__delta_100,C3,equal_av,gauge_only,0.9806689063488164,0.9864441759269735,0.08680342205259974,0.028865407074941906,0.9813484335797533,0.054009819967266774,0.28928928928928926
q_0p1__k_10__delta_100,C3,equal_drop,fixed_drop_10pa,0.9066141193295976,0.9010274001095447,0.19374634817550063,0.11579204270270525,0.9066296461742213,0.0,0.054009819967266774
q_0p1__k_10__delta_100,C3,equal_drop,gauge_only,0.9340777910007851,0.9130928395673127,0.16770552471054423,0.10610646483279867,0.9337020670925058,0.10463121783876501,0.14590747330960854
q_0p1__k_10__delta_100,C3,fixed_drop_10pa,gauge_only,0.9795805596196384,0.9922880049384835,0.0922775301644507,0.04550147815916561,0.980667205273973,0.10273972602739725,0.2615083251714006
q_0p1__k_1__delta_0p1,K2,equal_av,equal_drop,0.9798974971913188,0.9576821267425694,0.08602637909594146,0.03658695694464463,0.9805884868169643,0.15,0.26398429833169773
q_0p1__k_1__delta_0p1,K2,equal_av,fixed_drop_10pa,0.9848457179916057,0.9687651312321002,0.07524251711492672,0.0355125333972941,0.9872254381721141,0.0,0.0
q_0p1__k_1__delta_0p1,K2,equal_av,gauge_only,0.9825617842277815,0.9694293713681656,0.08118697682736331,0.040640386351348916,0.9841822454941611,0.02711323763955343,0.1103448275862069
q_0p1__k_1__delta_0p1,K2,equal_drop,fixed_drop_10pa,0.9849434675687112,0.9520698599800798,0.07687140306009357,0.04008308941428376,0.986187225806641,0.0,0.03287890938251804
q_0p1__k_1__delta_0p1,K2,equal_drop,gauge_only,0.9936346934216526,0.974713229159613,0.05286647230356746,0.037784718793669535,0.9934817275322918,0.23846153846153847,0.29838709677419356
q_0p1__k_1__delta_0p1,K2,fixed_drop_10pa,gauge_only,0.9905996326604392,0.9819714106095141,0.06249102505952668,0.04001391643672626,0.9917007732997462,0.08417508417508418,0.2128060263653484
q_0p1__k_1__delta_1,B2,equal_av,equal_drop,0.992503775039667,0.9913837800314245,0.053196015796874156,0.021120742099969787,0.9928163234561856,0.350104821802935,0.6534017971758665
q_0p1__k_1__delta_1,B2,equal_av,fixed_drop_10pa,0.992270847785643,0.9842451016963754,0.06192355290509855,0.03263429266486677,0.9920008737690531,0.0,0.0
q_0p1__k_1__delta_1,B2,equal_av,gauge_only,0.9886431262882952,0.9907267204188651,0.06524802648273627,0.023139036867110843,0.988138605653266,0.288,0.6345177664974619
q_0p1__k_1__delta_1,B2,equal_drop,fixed_drop_10pa,0.9961478418799776,0.9779421204883667,0.04479816328872011,0.03280719726191924,0.9963549107745464,0.0,0.0
q_0p1__k_1__delta_1,B2,equal_drop,gauge_only,0.9759260033180496,0.9862597326419241,0.09592007336068581,0.03293219669813504,0.9764732284378198,0.19480519480519481,0.5726495726495726
q_0p1__k_1__delta_1,B2,fixed_drop_10pa,gauge_only,0.9758599498115041,0.980737642552265,0.10224057153564423,0.046537901075015715,0.9756940265001782,0.0,0.0
q_100__k_0p1__delta_0p1,F2,equal_av,equal_drop,0.6589962807213269,0.6638303249038359,0.3954045711541949,0.2820932725188156,0.6521169953033661,0.0189873417721519,0.024661893396976928
q_100__k_0p1__delta_0p1,F2,equal_av,fixed_drop_10pa,0.7442344295655852,0.8748787469739203,0.3530163781653956,0.1379687780060233,0.7449516455432793,0.10843373493975904,0.10085470085470086
q_100__k_0p1__delta_0p1,F2,equal_av,gauge_only,0.7449864005276593,0.8518636925379982,0.3519610138776073,0.15158718323354595,0.740693457834163,0.08053691275167785,0.09617021276595744
q_100__k_0p1__delta_0p1,F2,equal_drop,fixed_drop_10pa,0.646043213679694,0.7033086810564401,0.3908144153040225,0.2790712834357686,0.648861611201256,0.0933786078098472,0.16984559491371481
q_100__k_0p1__delta_0p1,F2,equal_drop,gauge_only,0.7967199770989383,0.825243779803472,0.2974261182948893,0.2073953064804466,0.7948963132175265,0.3169734151329243,0.41694169416941695
q_100__k_0p1__delta_0p1,F2,fixed_drop_10pa,gauge_only,0.8245996287527719,0.8994988118505602,0.28872073170467966,0.11342028676442117,0.8235914227511695,0.22433460076045628,0.37901498929336186
q_100__k_0p1__delta_1,F3,equal_av,equal_drop,0.8392997572023332,0.8642007271474624,0.2814388624861122,0.1863884066049391,0.8194934246506381,0.0,0.00782472613458529
q_100__k_0p1__delta_1,F3,equal_av,fixed_drop_10pa,0.8647542008674969,0.8803801764634324,0.23679075410714281,0.1611433800384638,0.8712624266544517,0.07333333333333333,0.11902693310165074
q_100__k_0p1__delta_1,F3,equal_av,gauge_only,0.8171136474022969,0.8306365558082021,0.28833527704469625,0.13099341140651619,0.8203794361887774,0.0,0.003115264797507788
q_100__k_0p1__delta_1,F3,equal_drop,fixed_drop_10pa,0.8940242228488956,0.9014611977273315,0.19117178725292125,0.13798037500088184,0.8614923908111387,0.21509433962264152,0.4
q_100__k_0p1__delta_1,F3,equal_drop,gauge_only,0.8697985649230378,0.8895830105582206,0.24886893710704253,0.1628723044545106,0.8628461116457672,0.2727272727272727,0.36585365853658536
q_100__k_0p1__delta_1,F3,fixed_drop_10pa,gauge_only,0.8086671669534644,0.774024390215761,0.27888087277793133,0.17957728799870054,0.8100008780099944,0.06976744186046512,0.1794871794871795
q_100__k_0p1__delta_10,F1,equal_av,equal_drop,0.5944742976793922,0.7208889489138364,0.31733534476324,0.285210966650911,0.5439497327428475,0.2602739726027397,0.4
