model_family,model_key,representative_label,constraint_left,constraint_right,pressure_pearson_aligned,pressure_spearman_aligned,pressure_rmse_aligned_pa,pressure_mae_aligned_pa
gnn,q_0p1__k_1__delta_0p1,K2,equal_av,equal_drop,0.9249765167104488,0.9113504973179632,1.0947982518720458,0.8371928768894298
gnn,q_0p1__k_1__delta_0p1,K2,equal_av,fixed_drop_10pa,0.9055506068931809,0.9236722114986943,1.3365727000101333,1.0029845071480616
gnn,q_0p1__k_1__delta_0p1,K2,equal_av,gauge_only,0.8972793939637935,0.8660489755896559,1.3281517553211515,1.004991416524202
gnn,q_0p1__k_1__delta_0p1,K2,equal_drop,fixed_drop_10pa,0.8762486439456705,0.8642256792238016,1.4885193917810555,1.3313564846227184
gnn,q_0p1__k_1__delta_0p1,K2,equal_drop,gauge_only,0.9920874759664409,0.9833407010869195,0.3891382957141411,0.35573721915450884
gnn,q_0p1__k_1__delta_0p1,K2,fixed_drop_10pa,gauge_only,0.8095280887237286,0.7837419827390845,1.8692772737819292,1.6835701378949992
gnn,q_0p1__k_1__delta_1,B2,equal_av,equal_drop,0.9401033200277167,0.9296785155067185,1.2195267204445823,0.9367717923558424
gnn,q_0p1__k_1__delta_1,B2,equal_av,fixed_drop_10pa,0.90617698844237,0.9232772936016038,1.5273624654661855,1.097616066973493
gnn,q_0p1__k_1__delta_1,B2,equal_av,gauge_only,0.9024246489528028,0.8675120829346339,1.348931120818691,0.9769820505575717
gnn,q_0p1__k_1__delta_1,B2,equal_drop,fixed_drop_10pa,0.8817630337951542,0.8741279821394936,1.4328729534496034,1.2843103710899642
gnn,q_0p1__k_1__delta_1,B2,equal_drop,gauge_only,0.9878092308520846,0.9743090404425311,0.5218206535491167,0.45794470172335294
gnn,q_0p1__k_1__delta_1,B2,fixed_drop_10pa,gauge_only,0.7981175109648171,0.7715020451666189,1.9208456089884058,1.7231355700852715
gnn,q_100__k_0p1__delta_0p1,F2,equal_av,equal_drop,0.9006338409255721,0.8838283955676546,1.1512009193704171,0.8949801505470841
gnn,q_100__k_0p1__delta_0p1,F2,equal_av,fixed_drop_10pa,0.8616862104532598,0.8815402839215916,1.5233665437810608,0.9492372750210852
gnn,q_100__k_0p1__delta_0p1,F2,equal_av,gauge_only,0.8992760312405293,0.908460034329152,1.2570779212121317,0.9972711444153917
gnn,q_100__k_0p1__delta_0p1,F2,equal_drop,fixed_drop_10pa,0.8788351875922839,0.8525611895393502,1.3367784462432764,1.051377087623702
gnn,q_100__k_0p1__delta_0p1,F2,equal_drop,gauge_only,0.9979142230756903,0.9935749048382988,0.31991118686826653,0.279227067709419
gnn,q_100__k_0p1__delta_0p1,F2,fixed_drop_10pa,gauge_only,0.8891146089412054,0.8852106600879314,1.267313614422215,1.030080645050274
gnn,q_100__k_0p1__delta_1,F3,equal_av,equal_drop,0.8952511368200241,0.8986471751374145,1.2907731581154789,0.9820859550013856
gnn,q_100__k_0p1__delta_1,F3,equal_av,fixed_drop_10pa,0.886279049704682,0.853857778229039,1.9226027490456914,1.5125198641043978
gnn,q_100__k_0p1__delta_1,F3,equal_av,gauge_only,0.9033742366636088,0.9158702362772932,1.1092287172617068,0.8482132827943555
