D,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,tile_group,weight_mode
0.00039810717055349735,2.2014645108720288,272416.0722245015,272415.90628393216,-0.16594056938017995,2.2014645108720288,bayes_h1_marginal_boundary,measured_graph,0.21443346790975068,periphery,h1_z
0.0005011872336272725,8.187648931634612,272413.02652316523,272412.9131917218,-0.11333144347461188,8.187648931634612,bayes_h1_marginal_boundary,measured_graph,0.010750016688147672,periphery,h1_z
0.000630957344480193,16.768426781171,272408.69352511456,272408.622802797,-0.07072231756904392,16.768426781171,bayes_h1_marginal_boundary,measured_graph,0.00014727088722109248,periphery,h1_z
0.0007943282347242822,27.173786117811687,272403.45823632035,272403.4201231287,-0.03811319166347554,27.173786117811687,bayes_h1_marginal_boundary,measured_graph,8.102552097722271e-07,periphery,h1_z
0.001,39.03276511549484,272397.50613769563,272397.49063362984,-0.015504065757907535,39.03276511549484,bayes_h1_marginal_boundary,measured_graph,2.1551488066736373e-09,periphery,h1_z
0.0012589254117941675,52.40002429112792,272390.8098989819,272390.807004042,-0.0028949398523394052,52.40002429112792,bayes_h1_marginal_boundary,measured_graph,2.696583129961959e-12,periphery,h1_z
0.001584893192461114,67.8829545325134,272383.06582473527,272383.06553892134,-0.0002858139467712683,67.8829545325134,bayes_h1_marginal_boundary,measured_graph,1.1714890388901378e-15,periphery,h1_z
0.0019952623149688807,86.90690265817102,272373.56124154653,272373.5535648585,-0.007676688041203171,86.90690265817102,bayes_h1_marginal_boundary,measured_graph,8.664437672062904e-20,periphery,h1_z
0.002511886431509582,112.1123677805299,272360.97589985945,272360.9508322973,-0.025067562135635053,112.1123677805299,bayes_h1_marginal_boundary,measured_graph,2.9136888614596597e-25,periphery,h1_z
0.0031622776601683794,147.77409025712404,272343.17242949526,272343.11997105903,-0.05245843623006681,147.77409025712404,bayes_h1_marginal_boundary,measured_graph,5.2553123123854495e-33,periphery,h1_z
0.003981071705534973,199.9042802909389,272317.14472535247,272317.0548760421,-0.08984931032449865,199.9042802909389,bayes_h1_marginal_boundary,measured_graph,2.515773824845731e-44,periphery,h1_z
0.005011872336272725,275.4436596618034,272279.4224265411,272279.2851863567,-0.13724018441893068,275.4436596618034,bayes_h1_marginal_boundary,measured_graph,9.942687292900362e-61,periphery,h1_z
0.006309573444801936,380.1753495170269,272227.11397248757,272226.9193414291,-0.19463105851336257,380.1753495170269,bayes_h1_marginal_boundary,measured_graph,1.8001400254367657e-83,periphery,h1_z
0.00794328234724282,516.1795449682977,272159.1792656361,272158.91724370344,-0.26202193260779433,516.1795449682977,bayes_h1_marginal_boundary,measured_graph,5.276798230101595e-113,periphery,h1_z
0.01,680.7270548485685,272076.98290157004,272076.6434887633,-0.3394128067022262,680.7270548485685,bayes_h1_marginal_boundary,measured_graph,9.802406586910316e-149,periphery,h1_z
0.012589254117941675,867.6214779837755,271983.6230808765,271983.1962771957,-0.42680368079665804,867.6214779837755,bayes_h1_marginal_boundary,measured_graph,2.556962620695269e-189,periphery,h1_z
0.01584893192461114,1069.8963347151875,271882.5830433849,271882.05884883,-0.5241945548910899,1069.8963347151875,bayes_h1_marginal_boundary,measured_graph,3.0499823502897646e-233,periphery,h1_z
