D,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,tile_group,weight_mode
0.001,71.4085059275385,789341.3902214596,789341.3747173938,-0.015504065757907535,71.4085059275385,bayes_h1h2_marginal_boundary,measured_graph,1.7043003461190916e-16,interior,h1:h1_z;h2:h2_z
0.0012589254117941675,93.25153519725427,789330.4560976988,789330.4532027589,-0.0028949398523394052,93.25153519725427,bayes_h1h2_marginal_boundary,measured_graph,3.078878792947015e-21,interior,h1:h1_z;h2:h2_z
0.001584893192461114,119.75712275039405,789317.2006947963,789317.2004089823,-0.0002858139467712683,119.75712275039405,bayes_h1h2_marginal_boundary,measured_graph,5.404772090820928e-27,interior,h1:h1_z;h2:h2_z
0.0019952623149688807,153.65945310867392,789300.2569204912,789300.2492438032,-0.007676688041203171,153.65945310867392,bayes_h1h2_marginal_boundary,measured_graph,2.34952400284766e-34,interior,h1:h1_z;h2:h2_z
0.002511886431509582,199.42565107694827,789277.3912123812,789277.3661448191,-0.025067562135635053,199.42565107694827,bayes_h1h2_marginal_boundary,measured_graph,2.710043540758798e-44,interior,h1:h1_z;h2:h2_z
0.0031622776601683794,263.2646095685195,789245.4991240095,789245.4466655733,-0.05245843623006681,263.2646095685195,bayes_h1h2_marginal_boundary,measured_graph,3.719825496323172e-58,interior,h1:h1_z;h2:h2_z
0.003981071705534973,352.69541046977974,789200.821114433,789200.7312651227,-0.08984931032449865,352.69541046977974,bayes_h1h2_marginal_boundary,measured_graph,1.4153729621429975e-77,interior,h1:h1_z;h2:h2_z
0.005011872336272725,475.6486580509227,789139.3918815166,789139.2546413321,-0.13724018441893068,475.6486580509227,bayes_h1h2_marginal_boundary,measured_graph,2.8308210524526794e-104,interior,h1:h1_z;h2:h2_z
0.006309573444801936,639.3190923645161,789057.6140552338,789057.4194241753,-0.19463105851336257,639.3190923645161,bayes_h1h2_marginal_boundary,measured_graph,8.153220357589329e-140,interior,h1:h1_z;h2:h2_z
0.00794328234724282,849.1904017489869,788952.7457914157,788952.483769483,-0.26202193260779433,849.1904017489869,bayes_h1h2_marginal_boundary,measured_graph,2.1794825311770234e-185,interior,h1:h1_z;h2:h2_z
0.01,1108.4187572619412,788823.2090045332,788822.8695917266,-0.3394128067022262,1108.4187572619412,bayes_h1h2_marginal_boundary,measured_graph,1.1159152595728611e-241,interior,h1:h1_z;h2:h2_z
0.012589254117941675,1417.4024250200018,788668.8045615284,788668.3777578475,-0.42680368079665804,1417.4024250200018,bayes_h1h2_marginal_boundary,measured_graph,8.96768332388655e-309,interior,h1:h1_z;h2:h2_z
0.01584893192461114,1773.2431403908413,788490.981594717,788490.4574001621,-0.5241945548910899,1773.2431403908413,bayes_h1h2_marginal_boundary,measured_graph,0.0,interior,h1:h1_z;h2:h2_z
0.01995262314968881,2169.1878528669477,788293.116629353,788292.4850439241,-0.6315854289855218,2169.1878528669477,bayes_h1h2_marginal_boundary,measured_graph,0.0,interior,h1:h1_z;h2:h2_z
0.025118864315095822,2594.575307858875,788080.5402927311,788079.7913164281,-0.7489763030799538,2594.575307858875,bayes_h1h2_marginal_boundary,measured_graph,0.0,interior,h1:h1_z;h2:h2_z
0.03162277660168379,3035.8087299354374,787860.050972567,787859.1746053898,-0.8763671771743852,3035.8087299354374,bayes_h1h2_marginal_boundary,measured_graph,0.0,interior,h1:h1_z;h2:h2_z
0.039810717055349734,3478.4347216649912,787638.8753675764,787637.861609525,-1.0137580512688171,3478.4347216649912,bayes_h1h2_marginal_boundary,measured_graph,0.0,interior,h1:h1_z;h2:h2_z
0.05011872336272725,3909.7502477692906,787423.3649953982,787422.2038464729,-1.1611489253632492,3909.7502477692906,bayes_h1h2_marginal_boundary,measured_graph,0.0,interior,h1:h1_z;h2:h2_z
0.06309573444801936,4320.86786118499,787217.9635795645,787216.645039765,-1.3185397994576809,4320.86786118499,bayes_h1h2_marginal_boundary,measured_graph,0.0,interior,h1:h1_z;h2:h2_z
0.07943282347242822,4707.286633865908,787024.9215840981,787023.4356534246,-1.4859306735521132,4707.286633865908,bayes_h1h2_marginal_boundary,measured_graph,0.0,interior,h1:h1_z;h2:h2_z
0.1,5067.809855594765,786844.8373641078,786843.1740425602,-1.663321547646544,5067.809855594765,bayes_h1h2_marginal_boundary,measured_graph,0.0,interior,h1:h1_z;h2:h2_z
