edge_id,source_node,target_node,selected_for_radius_correction,snr,tile_id,original_radius_m,corrected_radius_m,radius_ratio,radius_percent_change,original_poiseuille_conductance,corrected_poiseuille_conductance,original_delta,selection_strategy,p_original_flow_nl_s,p_original_flow_residual_nl_s,observed_flow_nl_s,p_corrected_flow_nl_s,p_corrected_flow_residual_nl_s,g_original_flow_nl_s,g_original_flow_residual_nl_s,fixed_weight_delta,g_fixed_flow_nl_s,g_fixed_flow_residual_nl_s,retrained_delta,g_retrained_flow_nl_s,g_retrained_flow_residual_nl_s
4547,41101,41258,False,15.578417143887489,-1,6.915933772688732e-05,6.915933772688732e-05,1.0,0.0,3.335142821218586e-11,3.335142821218586e-11,-0.4948805868625641,low_snr_20pct,0.0140841284218973,0.2384549975282135,-0.2243708691063162,0.0152269672971895,0.2395978364035057,-0.2069893479347229,0.0173815228044986,-0.4949637353420257,-0.2063413560390472,0.0180295091122388,-0.4843791127204895,-0.2032705545425415,0.0211003087460994
4548,41101,41312,False,23.61963347381644,-1,7.560224912595004e-05,7.560224912595004e-05,1.0,0.0,2.4464574664907757e-11,2.4464574664907757e-11,-0.491900235414505,low_snr_20pct,0.2397646968119171,0.7415949907114971,-0.5018302396894714,0.2439296865625745,0.7457599262520459,-0.5016136765480042,0.0002166235935874,-0.4921407997608185,-0.496257871389389,0.0055723655968904,-0.4802125096321106,-0.490418791770935,0.0114114442840218
4549,41108,41237,False,,-1,1.7792433936847374e-05,1.7792433936847374e-05,1.0,0.0,4.028313006905703e-13,4.028313006905703e-13,0.4769735336303711,low_snr_20pct,-0.0001172576693292,0.0025415069660596,-0.0026587646353889,0.0005370597578989,0.0031958243932879,-0.0105477171018719,-0.0078889522701501,0.4801401793956756,-0.0163195002824068,-0.0136607363820075,0.4797516167163849,-0.0139720393344759,-0.0113132754340767
4550,41108,41258,True,1.0178783005038432,-1,3.003325946338009e-05,2.894336637763237e-05,0.9637104628261663,-3.628953717383354,1.2163778688562892e-12,1.0491916029419848e-12,-0.147857517004013,low_snr_20pct,0.0014333162249379,0.0085675283031854,-0.0071342120782475,0.0012234344837398,0.0083576465619873,0.0297890268266201,0.0369232408702373,0.0412517860531806,0.0312605425715446,0.0383947566151618,-0.0072367540560662,0.0296567920595407,0.0367910042405128
4551,41126,41139,True,2.598595831411431,-1,2.991370456584264e-05,2.833167178532134e-05,0.947113445041917,-5.288655495808303,1.294719013788721e-12,1.041798033240076e-12,-0.2173455953598022,low_snr_20pct,0.0092459575423437,0.0666726568431582,-0.0574266993008144,0.00963115509247,0.0670578543932845,-0.0301886294037103,0.027238069102168,0.0477653257548809,-0.0352363102138042,0.0221903901547193,0.0024245735257864,-0.0280582513660192,0.0293684490025043
4552,41139,41197,True,4.396473606257286,-1,1.7085159925045446e-05,1.934546563314739e-05,1.1322964325776386,13.229643257763858,8.299137471826275e-14,1.3641857688103524e-13,0.4969912469387054,low_snr_20pct,0.0011912385496564,0.0027960336301506,-0.0016047950804942,0.0022103206173988,0.003815115697893,-0.0092142382636666,-0.0076094432733953,0.4962466657161712,-0.0147833675146102,-0.0131785720586776,0.4948949515819549,-0.0145021136850118,-0.0128973182290792
4553,41153,41217,False,12.72401496929296,-1,2.350863542233128e-05,2.350863542233128e-05,1.0,0.0,4.808427438318039e-13,4.808427438318039e-13,0.4731089472770691,low_snr_20pct,0.0031289081551801,-0.0035559050871875,0.0066848132423676,0.0044692363620145,-0.002215576880353,-0.0227924901992082,-0.0294773019850254,0.476357102394104,-0.0280220750719308,-0.0347068905830383,0.4764065444469452,-0.0292404759675264,-0.0359252877533435
4554,41171,41232,False,16.786250972535797,-1,2.600946208985988e-05,2.600946208985988e-05,1.0,0.0,9.061268092987355e-13,9.061268092987355e-13,-0.3965776860713959,low_snr_20pct,0.0015924141057833,-0.0209387893461231,0.0225312034519064,0.0011459232398904,-0.021385280212016,-0.0052063851617276,-0.0277375876903533,-0.3910830020904541,-0.0004913403536193,-0.0230225436389446,0.4222334027290344,0.0010864582145586,-0.0214447453618049
4555,41171,41217,False,,-1,2.5779461793717928e-05,2.5779461793717928e-05,1.0,0.0,2.137137403435152e-12,2.137137403435152e-12,-0.4834299087524414,low_snr_20pct,-0.0009001642535411,-0.0009001642535411,0.0,-0.0004108843007078,-0.0004108843007078,0.0137810697779059,0.0137810697779059,-0.4832915365695953,0.0074705849401652,0.0074705849401652,0.1019920855760574,0.0093244900926947,0.0093244900926947
4556,41197,43362,True,0.6441407504205504,-1,2.965542626043316e-05,2.6573602413062493e-05,0.8960789226124699,-10.392107738753008,1.9441140677497787e-12,1.2534493547003697e-12,-0.4389071464538574,low_snr_20pct,-0.0014625770839799,-0.0211224828402953,0.0196599057563154,-0.0018881954698656,-0.0215481012261811,0.0152734909206628,-0.0043864143081009,-0.1917476803064346,0.018913397565484,-0.0007465087692253,-0.2167915850877761,0.0143918031826615,-0.0052681029774248
