edge_id,in_targeted_166,in_low_snr_20pct,category
667,False,False,neither
668,False,False,neither
669,False,False,neither
670,False,False,neither
671,False,False,neither
672,False,False,neither
673,False,False,neither
674,False,False,neither
675,False,False,neither
676,False,False,neither
677,False,False,neither
678,False,False,neither
679,False,False,neither
680,False,False,neither
681,False,False,neither
682,False,False,neither
683,False,False,neither
684,False,False,neither
685,False,False,neither
686,False,False,neither
687,False,False,neither
688,False,False,neither
689,False,False,neither
690,False,False,neither
691,False,False,neither
692,False,False,neither
693,False,False,neither
694,False,False,neither
695,False,False,neither
696,False,False,neither
697,False,False,neither
698,False,False,neither
699,False,False,neither
700,False,False,neither
701,False,False,neither
702,False,False,neither
703,False,False,neither
704,False,False,neither
705,False,False,neither
706,False,False,neither
707,False,False,neither
708,False,False,neither
709,False,False,neither
710,False,False,neither
711,False,False,neither
712,False,False,neither
713,False,False,neither
714,False,False,neither
715,False,False,neither
716,False,False,neither
717,False,False,neither
718,False,False,neither
719,False,False,neither
720,False,False,neither
721,False,False,neither
722,False,False,neither
723,False,False,neither
724,False,False,neither
725,False,False,neither
726,False,True,low_snr_only
727,False,False,neither
728,False,False,neither
729,False,False,neither
730,False,False,neither
731,False,True,low_snr_only
732,False,True,low_snr_only
733,False,False,neither
734,False,False,neither
735,False,False,neither
736,False,False,neither
737,False,False,neither
738,False,False,neither
739,False,True,low_snr_only
740,False,False,neither
741,False,False,neither
742,False,False,neither
743,False,False,neither
744,False,False,neither
745,False,False,neither
746,False,False,neither
747,False,False,neither
748,False,False,neither
749,False,False,neither
750,False,False,neither
751,False,False,neither
752,False,False,neither
753,False,False,neither
754,False,False,neither
755,False,False,neither
756,False,False,neither
757,False,False,neither
758,False,False,neither
759,False,False,neither
760,False,False,neither
761,False,False,neither
762,False,True,low_snr_only
763,False,False,neither
764,False,False,neither
765,False,False,neither
766,False,False,neither
767,False,False,neither
768,False,False,neither
769,False,False,neither
770,False,False,neither
771,False,False,neither
772,False,False,neither
773,False,False,neither
774,False,False,neither
775,False,False,neither
776,False,False,neither
777,False,True,low_snr_only
778,False,False,neither
779,False,True,low_snr_only
780,False,False,neither
781,False,True,low_snr_only
782,False,True,low_snr_only
783,False,False,neither
784,False,False,neither
785,False,False,neither
786,False,False,neither
787,False,False,neither
788,False,False,neither
789,False,False,neither
790,False,False,neither
791,False,False,neither
792,False,False,neither
793,False,False,neither
794,False,True,low_snr_only
795,False,False,neither
796,False,False,neither
797,False,False,neither
798,False,True,low_snr_only
799,False,False,neither
800,False,False,neither
801,False,False,neither
802,False,False,neither
803,False,False,neither
804,False,False,neither
805,False,True,low_snr_only
806,False,False,neither
807,False,False,neither
808,False,True,low_snr_only
809,False,False,neither
810,False,False,neither
811,False,True,low_snr_only
812,False,True,low_snr_only
813,False,False,neither
814,False,False,neither
815,False,True,low_snr_only
816,False,True,low_snr_only
817,False,False,neither
818,False,False,neither
819,False,False,neither
820,False,False,neither
821,False,False,neither
822,False,False,neither
823,False,False,neither
824,False,False,neither
825,False,False,neither
826,False,False,neither
827,False,False,neither
828,False,False,neither
829,False,False,neither
830,False,False,neither
831,False,False,neither
832,False,False,neither
833,False,False,neither
834,False,True,low_snr_only
835,False,False,neither
836,False,False,neither
837,False,False,neither
838,False,False,neither
839,False,False,neither
840,False,False,neither
841,False,False,neither
842,False,False,neither
843,False,False,neither
844,False,False,neither
845,False,True,low_snr_only
846,False,False,neither
847,False,False,neither
848,False,False,neither
849,False,False,neither
850,False,False,neither
851,False,True,low_snr_only
852,False,True,low_snr_only
853,False,False,neither
854,False,False,neither
855,False,False,neither
856,False,False,neither
857,False,False,neither
858,False,False,neither
859,False,False,neither
860,False,False,neither
861,False,False,neither
862,False,False,neither
863,False,False,neither
864,False,False,neither
865,False,False,neither
866,False,True,low_snr_only
867,False,False,neither
868,False,False,neither
869,False,False,neither
870,False,False,neither
871,False,False,neither
872,False,False,neither
873,False,True,low_snr_only
874,False,False,neither
875,False,False,neither
876,False,True,low_snr_only
877,False,False,neither
878,False,False,neither
879,False,False,neither
880,False,False,neither
881,False,True,low_snr_only
882,False,False,neither
883,False,False,neither
884,False,True,low_snr_only
885,False,False,neither
886,False,False,neither
887,False,False,neither
888,False,False,neither
889,False,False,neither
890,False,False,neither
891,False,False,neither
892,False,False,neither
893,False,False,neither
894,False,False,neither
895,False,False,neither
896,False,False,neither
897,False,False,neither
898,False,False,neither
899,False,False,neither
900,False,False,neither
901,False,False,neither
902,False,True,low_snr_only
903,False,False,neither
904,False,False,neither
905,False,False,neither
906,False,False,neither
907,False,False,neither
908,False,False,neither
909,False,False,neither
910,False,False,neither
911,False,False,neither
912,False,False,neither
