edge_id,graph_source_node,graph_target_node,source_node,target_node,source_index,target_index,snr,tile_id,original_radius_m,length_m,original_poiseuille_conductance,selection_strategy,selected_for_radius_correction
4966,45328,45339,45328,45339,3348,3349,39.4475220497206,-1,5.238063386059366e-05,6.211560685187578e-05,1.359797088621242e-11,targeted_166,True
4967,45339,45966,45339,45966,3349,3408,22.91394824815253,-1,7.162490510381758e-05,5.370009603211656e-05,5.4988644891273553e-11,targeted_166,True
4968,45339,45365,45339,45365,3349,3350,14.73191221846711,-1,5.115985550219193e-05,0.00010213986388407648,7.525126470639342e-12,targeted_166,True
4969,45365,45438,45365,45438,3350,3356,,-1,3.956153886974789e-05,3.3563919714652e-05,8.188641796059406e-12,targeted_166,True
4970,45365,46085,45365,46085,3350,3415,41.25478262505472,-1,2.365314867347479e-05,0.000136455986648798,2.573683236069542e-13,targeted_166,True
4971,45371,45402,45371,45402,3351,3353,4.06492048048773,-1,7.413469575112686e-05,9.684840915724635e-05,3.499333933709426e-11,targeted_166,True
4972,45395,45412,45395,45412,3352,3354,,-1,2.3310751203098334e-05,5.71364325878676e-05,5.798341592629168e-13,targeted_166,True
4973,45402,45741,45402,45741,3353,3391,0.12862297231182654,-1,8.967782923718914e-05,8.017387153813615e-05,9.051057706061365e-11,targeted_166,True
4974,45412,45461,45412,45461,3354,3358,,-1,2.9682791137020104e-05,7.019560871412978e-05,1.2407973052282055e-12,targeted_166,True
4975,45412,59739,45412,59739,3354,4379,3.1622776601683795e-05,-1,1.8289234503754415e-05,8.170030196197331e-05,1.5365627247364094e-13,targeted_166,True
4977,45419,45741,45419,45741,3355,3391,0.1198952331050001,-1,3.559224205673672e-05,0.00015112174150999635,1.1914786835523142e-12,targeted_166,True
4978,45419,59742,45419,59742,3355,4382,,-1,3.4782755392370746e-05,2.8226859285496175e-05,5.818154016623034e-12,targeted_166,True
4979,45438,45484,45438,45484,3356,3360,21.691419042425473,-1,4.005330993095413e-05,8.184811304090545e-05,3.5280669237342656e-12,targeted_166,True
4980,45438,59739,45438,59739,3356,4379,3.1622776601683795e-05,-1,1.8289234503754415e-05,8.170030196197331e-05,1.5365627247364094e-13,targeted_166,True
4984,45461,59742,45461,59742,3358,4382,,-1,3.4782755392370746e-05,2.8226859285496175e-05,5.818154016623034e-12,targeted_166,True
4988,45492,45729,45492,45729,3361,3389,17.525672428258087,-1,5.083034193376079e-05,8.83894317667e-05,8.473905650276928e-12,targeted_166,True
4989,45492,45495,45492,45495,3361,3362,12.435906619216818,-1,1.5550431271549314e-05,7.125370757421479e-05,9.207762881565468e-14,targeted_166,True
4990,45495,45518,45495,45518,3362,3364,21.659288118036837,-1,2.929535912699066e-05,6.111936818342656e-05,1.3520983740298326e-12,targeted_166,True
4991,45495,45539,45495,45539,3362,3369,16.501394190154443,-1,2.1864920199732296e-05,6.530145037686452e-05,3.9269972816794365e-13,targeted_166,True
4992,45515,45518,45515,45518,3363,3364,,-1,2.6533431082498282e-05,4.455846283235587e-05,1.2480595073796617e-12,targeted_166,True
4993,45515,45539,45515,45539,3363,3369,,-1,3.204338645446114e-05,2.365819273109082e-05,4.9999297925498e-12,targeted_166,True
4994,45515,45527,45515,45527,3363,3366,,-1,2.8428570658434182e-05,4.120685116504319e-05,1.7784534851091707e-12,targeted_166,True
4995,45518,59740,45518,59740,3364,4380,15.148646975317648,-1,5.461305772769265e-05,3.0494828024529852e-05,3.273042348416982e-11,targeted_166,True
4996,45521,45643,45521,45643,3365,3380,21.77718243783119,-1,1.564092599437572e-05,5.3701820434071124e-05,1.2504106899766928e-13,targeted_166,True
4998,45521,59743,45521,59743,3365,4383,,-1,1.3910351299273316e-05,2.241533002234064e-05,1.874127339243833e-13,targeted_166,True
4999,45527,45638,45527,45638,3366,3379,20.870994969176362,-1,2.8340562494122423e-05,6.206906255101785e-05,1.1661395319802125e-12,targeted_166,True
5000,45527,45643,45527,45643,3366,3380,,-1,2.838176988007035e-05,2.178507020289544e-05,3.3418794165519846e-12,targeted_166,True
5002,45529,59740,45529,59740,3367,4380,15.148646975317648,-1,5.461305772769265e-05,3.0494828024529852e-05,3.273042348416982e-11,targeted_166,True
5003,45533,45612,45533,45612,3368,3375,,-1,2.2360041839419864e-05,6.409928028006107e-05,4.375514582428271e-13,targeted_166,True
5004,45533,45614,45533,45614,3368,3376,11.232522053931579,-1,3.272254980402067e-05,7.231911877170205e-05,1.7788005922160049e-12,targeted_166,True
5005,45533,59741,45533,59741,3368,4381,,-1,3.4059634344885126e-05,1.2162628991063684e-05,1.2414359189974119e-11,targeted_166,True
5006,45539,59741,45539,59741,3369,4381,,-1,3.4059634344885126e-05,1.2162628991063684e-05,1.2414359189974119e-11,targeted_166,True
5007,45558,45585,45558,45585,3371,3372,,-1,3.3014632208505645e-05,2.7250054699834436e-05,4.891593023232775e-12,targeted_166,True
5008,45558,45601,45558,45601,3371,3373,0.28402336086902397,-1,2.827779644576367e-05,4.847165837418288e-05,1.4800835046557611e-12,targeted_166,True
5009,45585,45612,45585,45612,3372,3375,,-1,2.5941539206542075e-05,2.793527892208658e-05,1.8189543197700723e-12,targeted_166,True
5010,45585,45611,45585,45611,3372,3374,0.10992936281326346,-1,3.0668306862935424e-05,0.00010666938760550693,9.3048899265618e-13,targeted_166,True
5011,45601,45739,45601,45739,3373,3390,,-1,3.7596095353364944e-05,3.152865610900335e-05,7.1097994646751235e-12,targeted_166,True
5012,45601,45611,45601,45611,3373,3374,6.510858051141898,-1,2.6917616196442395e-05,0.00011241333413636312,5.239868622612107e-13,targeted_166,True
5013,45611,45678,45611,45678,3374,3384,,-1,4.787236321135424e-05,3.781530904234387e-05,1.5583451544363094e-11,targeted_166,True
5014,45614,45678,45614,45678,3376,3384,20.208241301402342,-1,5.3693762311013415e-05,5.7582525187171996e-05,1.6195579002795884e-11,targeted_166,True
5015,45614,45638,45614,45638,3376,3379,,-1,3.19511818815954e-05,3.613742228480987e-05,3.235805288138371e-12,targeted_166,True
5017,45616,45643,45616,45643,3377,3380,,-1,2.292589306307491e-05,2.3176624381449074e-05,1.3373550080251454e-12,targeted_166,True
5018,45616,59743,45616,59743,3377,4383,,-1,1.3910351299273316e-05,2.241533002234064e-05,1.874127339243833e-13,targeted_166,True
5020,45638,45727,45638,45727,3379,3388,,-1,3.2000465580495074e-05,4.466130485525355e-05,2.6344236818506506e-12,targeted_166,True
5027,45678,45686,45678,45686,3384,3385,0.35188300055789584,-1,4.5044071157462895e-05,6.9947331212461e-05,6.603455201072746e-12,targeted_166,True
5028,45686,45724,45686,45724,3385,3387,,-1,3.5289369407109916e-05,2.42961868934799e-05,7.161917491535971e-12,targeted_166,True
5029,45686,45739,45686,45739,3385,3390,0.3152848782348656,-1,1.4978666513343342e-05,0.0002796829503495246,2.0193818839743176e-14,targeted_166,True
5030,45711,45724,45711,45724,3386,3387,,-1,3.600797208491713e-05,3.284131162217818e-05,5.743359489878166e-12,targeted_166,True
5031,45711,46992,45711,46992,3386,3492,31.356296368248273,-1,2.7096994017483667e-05,5.2604766096919775e-05,1.1498765287686405e-12,targeted_166,True
5032,45724,45727,45724,45727,3387,3388,8.499169993166001,-1,2.4623430363135412e-05,9.375053195981309e-05,4.399591185959681e-13,targeted_166,True
5058,45966,45981,45966,45981,3408,3410,32.63853894475029,-1,3.392426879145205e-05,0.00017830063006840646,8.334526769689307e-13,targeted_166,True
