edge_id,source_node,target_node,selected_for_radius_correction,snr,tile_id,original_radius_m,corrected_radius_m,radius_ratio,radius_percent_change,original_poiseuille_conductance,corrected_poiseuille_conductance,original_delta,selection_strategy,p_original_flow_nl_s,p_original_flow_residual_nl_s,observed_flow_nl_s,p_corrected_flow_nl_s,p_corrected_flow_residual_nl_s,g_original_flow_nl_s,g_original_flow_residual_nl_s,fixed_weight_delta,g_fixed_flow_nl_s,g_fixed_flow_residual_nl_s,retrained_delta,g_retrained_flow_nl_s,g_retrained_flow_residual_nl_s
1784,16030,16104,False,11.728409802301988,-1,3.075767381233163e-05,3.075767381233163e-05,1.0,0.0,8.50359289613757e-13,8.50359289613757e-13,0.1662550717592239,targeted_166,-0.006971818074567,-0.0048428136788957,-0.0021290043956712,-0.0075090292396052,-0.005380024843934,0.0084210308268666,0.0105500360950827,0.1605299562215805,0.0085544493049383,0.0106834536418318,0.1722200065851211,0.006968505680561,0.0090975100174546
1785,16030,18649,False,45.15732978671003,-1,5.5033015087246895e-05,5.5033015087246895e-05,1.0,0.0,2.1467566503328667e-11,2.1467566503328667e-11,-0.4962970614433288,targeted_166,0.0470370880374833,0.1924831889471741,-0.1454460873571636,0.0506610304108843,0.1961071177680479,-0.0997276231646537,0.0457184761762619,-0.4963181912899017,-0.0996972098946571,0.0457488782703876,-0.4794279634952545,-0.0971636623144149,0.0482824221253395
1786,16046,16115,False,50.54439245612467,-1,1.716825136099942e-05,1.716825136099942e-05,1.0,0.0,1.1559337720780084e-13,1.1559337720780084e-13,0.4966247081756592,targeted_166,0.0052630688639177,0.0100308402941262,-0.0047677714302084,0.0056746468316698,0.0104424182618783,0.0026896635536104,0.0074574346654117,0.4966450929641723,0.0024390544276684,0.0072068255394697,0.4786469936370849,0.0056537785567343,0.0104215499013662
1787,16082,16097,False,52.08694430040469,-1,2.037294689216651e-05,2.037294689216651e-05,1.0,0.0,4.014859018491674e-13,4.014859018491674e-13,0.4820889234542846,targeted_166,0.0045638130962896,0.0101645537622127,-0.005600740665923,0.0049154338368703,0.0105161745027934,-0.0092503260821104,-0.0036495858803391,0.4822477698326111,-0.0092962849885225,-0.0036955440882593,0.4675492346286773,-0.0080181509256362,-0.0024174104910343
1788,16096,16097,False,,-1,2.2317135517369024e-05,2.2317135517369024e-05,1.0,0.0,7.504782724510242e-13,7.504782724510242e-13,0.3054381012916565,targeted_166,-0.0014620663231127,-0.0078692619759189,0.0064071956528061,-0.0015640033501829,-0.0079711990029891,0.0116037502884864,0.00519655412063,0.3047000765800476,0.0115557638928294,0.0051485681906342,0.3209549784660339,0.0116808731108903,0.0052736774086952
1789,16096,16404,False,89.27855699600138,-1,1.814569986891001e-05,1.814569986891001e-05,1.0,0.0,2.1781990544067586e-13,2.1781990544067586e-13,0.4945559203624725,targeted_166,-0.0060390205003043,-0.0100812349428395,0.0040422148660517,-0.0065231231230662,-0.0105653379891179,-0.0009729047887958,-0.0050151194445788,0.4946057200431824,-0.0008358390186913,-0.004878053907305,0.4777088463306427,-0.0027948319911956,-0.0068370467051863
1790,16096,16099,False,,-1,2.4590815883129835e-05,2.4590815883129835e-05,1.0,0.0,1.1882364028409534e-12,1.1882364028409534e-12,-0.2325789630413055,targeted_166,0.007257839925031,0.0127884276281966,-0.0055305877031655,0.0078203570464015,0.013350944749567,-0.0090179331600666,-0.0034873450640589,-0.2368746250867843,-0.0091080591082572,-0.0035774712450802,-0.2582736313343048,-0.007437216117978,-0.0019066283712163
1791,16097,16115,False,85.19840085719298,-1,1.4429439943342004e-05,1.4429439943342004e-05,1.0,0.0,5.60412590933451e-14,5.60412590933451e-14,0.4974069595336914,targeted_166,0.0028595368548766,0.0044045970543481,-0.0015450603053505,0.0030857946016813,0.0046308549070319,0.0054561095312237,0.0070011694915592,0.4974159896373749,0.0052943071350455,0.0068393675610423,0.4793049097061157,0.007110480684787,0.0086555406451225
1792,16099,16413,False,104.96487195172668,-1,1.8472986994311213e-05,1.8472986994311213e-05,1.0,0.0,2.3258106149880057e-13,2.3258106149880057e-13,0.494098961353302,targeted_166,-0.0017145276694154,-0.0041015891227971,0.0023870614533817,-0.0018602448649139,-0.0042473063182956,-0.0035107985604554,-0.0058978600427508,0.4941540062427521,-0.0034351772628724,-0.0058222385123372,0.4772382080554962,-0.0039687189273536,-0.0063557801768183
1793,16099,16138,False,,-1,2.740609488682821e-05,2.740609488682821e-05,1.0,0.0,2.3212059248069866e-12,2.3212059248069866e-12,-0.4753611087799072,targeted_166,0.0087266924643589,0.0087266924643589,0.0,0.0094111679305739,0.0094111679305739,-0.0047739185392856,-0.0047739185392856,-0.4759290814399719,-0.0049940389581024,-0.0049940389581024,-0.4552290737628937,-0.0018292419845238,-0.0018292419845238
1794,16104,16115,False,49.37490003463424,-1,2.467437479936052e-05,2.467437479936052e-05,1.0,0.0,9.876668206529613e-13,9.876668206529613e-13,0.0036334567703306,targeted_166,-0.0078612712788527,-0.00596087091125,-0.0019004001558444,-0.0084737565678475,-0.0065733564120031,9.744677663547918e-05,0.001997847110033,-0.0010543341049924,0.0003112127888016,0.0022116128820925,0.0032077671494334,-0.0021895030513405,-0.0002891029289457
1795,16104,16125,False,27.78145681713487,-1,1.574739690113347e-05,1.574739690113347e-05,1.0,0.0,9.488624353722729e-14,9.488624353722729e-14,0.4970278739929199,targeted_166,0.0006249561550772,0.0045957453913682,-0.0039707892362909,0.0006745642278199,0.0046453534641109,-0.0084062088280916,-0.0044354200363159,0.4970435202121734,-0.0083613898605108,-0.0043906006030738,0.4795298278331756,-0.0085796173661947,-0.0046088276430964
1796,16125,18673,False,72.40074816528049,-1,2.2319007257465277e-05,2.2319007257465277e-05,1.0,0.0,7.198433809251153e-13,7.198433809251153e-13,0.3393713235855102,targeted_166,0.0047991984701339,0.0115845037013638,-0.0067853056547463,0.0051762157995721,0.0119615214543185,-0.0067770271562039,8.278052519017365e-06,0.3388867080211639,-0.0068566841073334,-7.137862121453509e-05,0.3525657653808594,-0.005793210119009,0.00099209533073
1797,16125,16138,False,105.471379846133,-1,1.627721758268308e-05,1.627721758268308e-05,1.0,0.0,8.261321569574907e-14,8.261321569574907e-14,0.497056782245636,targeted_166,-0.0044409204741043,-0.0105485133736866,0.0061075933230987,-0.0047941886937674,-0.0109017820168662,-0.0040048211812973,-0.0101124150678515,0.4970710575580597,-0.003810393391177,-0.0099179865792393,0.4785633981227875,-0.0060573862865567,-0.0121649792417883
1798,16138,16481,False,41.31389491969506,-1,1.804739258659538e-05,1.804739258659538e-05,1.0,0.0,1.3858539556343578e-13,1.3858539556343578e-13,0.4962100982666015,targeted_166,0.0040386619863544,0.0055231828352615,-0.0014845209547862,0.0043459680807171,0.0058304890355033,-0.0078642023727297,-0.0063796821050345,0.4962351322174072,-0.0079037370160222,-0.0064192162826657,0.4778315424919128,-0.0067494888789951,-0.0052649676799774
1799,16168,16279,False,,-1,2.941600905614905e-05,2.941600905614905e-05,1.0,0.0,2.698521997179759e-12,2.698521997179759e-12,-0.4826368391513824,targeted_166,-0.0080734504910411,-0.0080734504910411,0.0,-0.0087119862783287,-0.0087119862783287,0.0061125173233449,0.0061125173233449,-0.4830342829227447,0.0061988825909793,0.0061988825909793,-0.4639077186584472,0.0043914751149713,0.0043914751149713
1800,16168,16226,False,68.43324199776882,-1,2.3252609025803395e-05,2.3252609025803395e-05,1.0,0.0,5.44673453885721e-13,5.44673453885721e-13,0.4505188465118408,targeted_166,0.0035973692557797,0.0028004254959822,0.0007969437068579,0.0038649732218387,0.0030680295149807,-0.0052926945500075,-0.0060896384529769,0.4505127668380737,-0.0053454795852303,-0.0061424234881997,0.4429455697536468,-0.004252700600773,-0.0050496440380811
1801,16194,16260,False,109.8502544421616,-1,2.717887946346309e-05,2.717887946346309e-05,1.0,0.0,9.240321078356197e-13,9.240321078356197e-13,0.1126103997230529,targeted_166,0.016722307403811,0.0288357603108455,-0.0121134529070345,0.0180835808296069,0.0301970337366415,-0.0061321575194597,0.0059812953695654,0.1071466132998466,-0.0062898029573261,0.005823649931699,0.11946552246809,-0.0036042239516973,0.0085092289373278
1802,16194,16206,False,,-1,3.101888796663843e-05,3.101888796663843e-05,1.0,0.0,2.9321483283787654e-12,2.9321483283787654e-12,-0.484715849161148,targeted_166,-0.010124241770187,-0.010124241770187,0.0,-0.0109791021489068,-0.0109791021489068,-0.0062630977481603,-0.0062630977481603,-0.4850649833679199,-0.006083938293159,-0.006083938293159,-0.4675216972827911,-0.0069908243604004,-0.0069908243604004
1803,16206,16314,False,32.621588686758486,-1,1.95568245544564e-05,1.95568245544564e-05,1.0,0.0,2.0295553013486395e-13,2.0295553013486395e-13,0.4946420192718506,targeted_166,-0.0034809930698158,-0.002416226915338,-0.0010647661544778,-0.0037870796484927,-0.0027223134940149,-0.0054695443250238,-0.0044047781266272,0.494683176279068,-0.0053931917063891,-0.0043284255079925,0.47610804438591,-0.0050168884918093,-0.0039521222934126
1804,16220,16239,False,,-1,3.137325620627962e-05,3.137325620627962e-05,1.0,0.0,5.1398347439683454e-12,5.1398347439683454e-12,-0.4934950768947601,targeted_166,0.0109608138605427,0.0109608138605427,0.0,0.0118370355631594,0.0118370355631594,-0.0054307170212268,-0.0054307170212268,-0.4935857951641083,-0.0056239529512822,-0.0056239529512822,-0.4720417559146881,-0.0024861949495971,-0.0024861949495971
1805,16220,16226,False,83.01838089759023,-1,2.2299380361801013e-05,2.2299380361801013e-05,1.0,0.0,3.9615260259839596e-13,3.9615260259839596e-13,0.4820038676261902,targeted_166,-0.0113745928434082,-0.0150414450588842,0.0036668522154759,-0.0122946806882973,-0.0159615329037732,0.0027186202351003,-0.0009482320165261,0.4820983707904815,0.0028784584719687,-0.0007883937214501,0.4650516808032989,0.0005018596420995,-0.0031649926677346
1806,16226,16260,False,92.36408162692796,-1,2.5363189706695263e-05,2.5363189706695263e-05,1.0,0.0,9.972157657847597e-13,9.972157657847597e-13,0.0014321847120299,targeted_166,-0.0079988802514636,-0.0141720826290743,0.0061732028011271,-0.0086727440889154,-0.0148459468900425,-0.0003969577082898,-0.0065701599232852,-0.0037708536256104,-0.0003485928755253,-0.0065217958763241,-0.0066919708624482,-0.0009463519090786,-0.0071195550262928
1807,16239,16447,False,0.4952226227563173,-1,1.1442201866884716e-05,1.1442201866884716e-05,1.0,0.0,1.8241921324802192e-14,1.8241921324802192e-14,0.4976495206356048,targeted_166,0.0004592953041378,0.0009534337320774,-0.000494138375,0.0004938737830831,0.0009880121580832,-0.0007073047454468,-0.0002131663204636,0.4976519048213959,-0.0007161863613873,-0.0002220479946117,0.4781918823719024,-0.0005000694654881,-5.931083705945639e-06
1808,16239,16404,False,,-1,2.6803747459780425e-05,2.6803747459780425e-05,1.0,0.0,2.228839781289521e-12,2.228839781289521e-12,-0.4725868105888366,targeted_166,0.0102695714481121,0.0102695714481121,0.0,0.0110888149384329,0.0110888149384329,-0.0035656644031405,-0.0035656644031405,-0.4732119143009186,-0.0038023355882614,-0.0038023355882614,-0.4517489671707153,-0.0001523754763184,-0.0001523754763184
